SYMBOL	ENTREZID	Ctrl_Fam.Veh.R1	Ctrl_Fam.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
DNASE2	1777	12.5923	10.4694	NA	NA	NA	NA
DND1	373863	0.329756	0.595351	NA	NA	NA	NA
DND1P1	644157	0.264728	0.398679	NA	NA	NA	NA
DNER	92737	73.1769	50.254	NA	NA	NA	NA
DNHD1	144132	3.14548	2.79182	NA	NA	NA	NA
DNLZ	728489	9.18367	10.9174	NA	NA	NA	NA
DNM1	1759	71.5548	63.0286	NA	NA	NA	NA
DNM1L	10059	42.6279	42.8925	cerebral-cortex	glial-cells	High	Supported
DNM1P46	196968	0.160074	0.255502	NA	NA	NA	NA
DNM1P51	109729113	0.415555	0.0383522	NA	NA	NA	NA
DNM2	1785	42.3816	46.3215	cerebral-cortex	glial-cells	Low	Supported
DNM3	26052	5.53015	4.29357	NA	NA	NA	NA
DNM3OS	100628315	2.07543	1.07307	NA	NA	NA	NA
DNMBP	23268	12.7146	12.7385	NA	NA	NA	NA
DNMT1	1786	35.076	47.066	NA	NA	NA	NA
DNMT3A	1788	13.1489	23.5599	cerebral-cortex	glial-cells	Medium	Approved
DNMT3B	1789	2.98797	3.4133	NA	NA	NA	NA
DNPEP	23549	25.1197	25.0851	cerebral-cortex	glial-cells	High	Enhanced
DNPH1	10591	22.7021	32.0478	cerebral-cortex	glial-cells	Low	Enhanced
DNTTIP1	116092	22.1391	23.8981	NA	NA	NA	NA
DNTTIP2	30836	29.6846	28.9036	NA	NA	NA	NA
DOC2A	8448	0.45452	0.559128	NA	NA	NA	NA
DOC2GP	390213	2.06241	2.95556	NA	NA	NA	NA
DOCK1	1793	22.4313	27.4568	cerebral-cortex	glial-cells	Low	Approved
DOCK10	55619	13.1371	11.8391	cerebral-cortex	glial-cells	Medium	Enhanced
DOCK11	139818	2.46117	2.06628	NA	NA	NA	NA
DOCK2	1794	1.1175	0.712355	NA	NA	NA	NA
DOCK3	1795	1.20048	1.5401	NA	NA	NA	NA
DOCK4	9732	12.5153	8.64979	NA	NA	NA	NA
DOCK5	80005	4.91883	8.61627	NA	NA	NA	NA
DOCK6	57572	4.81428	9.39055	cerebral-cortex	glial-cells	Low	Approved
DOCK7	85440	31.8586	34.6956	NA	NA	NA	NA
DOCK8	81704	0.0631786	0.139564	NA	NA	NA	NA
