SYMBOL	ENTREZID	Ctrl_NIH1.Veh.R1	Ctrl_NIH1.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
LINC00339	29092	9.42311	14.8995	NA	NA	NA	NA
LINC00342	150759	18.4047	17.8906	NA	NA	NA	NA
LINC00346	283487	0	0.208084	NA	NA	NA	NA
LINC00391	100874154	1.0473	0.934972	NA	NA	NA	NA
LINC00404	100874160	8.4671	7.96204	NA	NA	NA	NA
LINC00449	106478991	0.268014	0.299709	NA	NA	NA	NA
LINC00452	643365	0.168348	0.375516	NA	NA	NA	NA
LINC00461	645323	14.0307	15.4257	NA	NA	NA	NA
LINC00467	84791	4.75559	8.55447	NA	NA	NA	NA
LINC00471	151477	0.501377	0.485265	NA	NA	NA	NA
LINC00472	79940	9.13918	2.70119	NA	NA	NA	NA
LINC00475	158314	0	0.0175557	NA	NA	NA	NA
LINC00476	100128782	2.53134	2.17856	NA	NA	NA	NA
LINC00487	400941	0.164357	0.187292	NA	NA	NA	NA
LINC00488	677779	0.097774	0.12215	NA	NA	NA	NA
LINC00511	400619	14.2109	16.5454	NA	NA	NA	NA
LINC00515	282566	0.499597	1.12065	NA	NA	NA	NA
LINC00526	147525	2.45952	2.90846	NA	NA	NA	NA
LINC00537	203274	1.74297	1.09265	NA	NA	NA	NA
LINC00562	100861549	0.180016	0.178493	NA	NA	NA	NA
LINC00565	100861555	1.31956	2.07037	NA	NA	NA	NA
LINC00571	100874188	0.862282	0.245752	NA	NA	NA	NA
LINC00574	80069	0.214135	0.0955527	NA	NA	NA	NA
LINC00599	157627	2.6046	1.66822	NA	NA	NA	NA
LINC00606	285370	0.051014	0.212413	NA	NA	NA	NA
LINC00618	145249	0.177666	0.798939	NA	NA	NA	NA
LINC00621	100996930	0.228135	0.48331	NA	NA	NA	NA
LINC00622	644242	0.066088	0.118033	NA	NA	NA	NA
LINC00623	728855	0.436144	0.954688	NA	NA	NA	NA
LINC00629	100506757	0	0.508881	NA	NA	NA	NA
LINC00630	100287765	2.86395	1.06094	NA	NA	NA	NA
LINC00632	286411	9.31985	8.6644	NA	NA	NA	NA
LINC00634	339674	0.621885	1.05967	NA	NA	NA	NA
LINC00638	196872	0.508862	0.646207	NA	NA	NA	NA
LINC00641	283624	15.0666	10.7458	NA	NA	NA	NA
LINC00643	646113	0.176323	0	NA	NA	NA	NA
LINC00645	100505967	0.157099	0.123335	NA	NA	NA	NA
LINC00648	100506433	0.439494	0.407216	NA	NA	NA	NA
LINC00649	100506334	0.355198	0.292575	NA	NA	NA	NA
LINC00652	29075	0.130881	0.0534563	NA	NA	NA	NA
LINC00662	148189	13.049	15.5429	NA	NA	NA	NA
LINC00663	284440	2.06182	3.27395	NA	NA	NA	NA
LINC00664	400680	0.235176	0.0903646	NA	NA	NA	NA
LINC00665	100506930	13.9847	12.5205	NA	NA	NA	NA
LINC00667	339290	18.5803	16.461	NA	NA	NA	NA
LINC00672	100505576	0.900857	1.14049	NA	NA	NA	NA
LINC00680	106660612	0.032488	0.0290068	NA	NA	NA	NA
LINC00683	400660	0.0448752	0.0400202	NA	NA	NA	NA
LINC00685	283981	1.53947	4.15411	NA	NA	NA	NA
LINC00693	645206	0.209908	0.187352	NA	NA	NA	NA
LINC00702	100652988	0.00745148	0.0132904	NA	NA	NA	NA
LINC00703	100507059	0.994166	0.517565	NA	NA	NA	NA
LINC00847	729678	2.40864	3.99271	NA	NA	NA	NA
LINC00852	84657	0.561499	0.286637	NA	NA	NA	NA
LINC00856	100132987	0.172697	0.0324958	NA	NA	NA	NA
LINC00863	439994	3.33859	1.73198	NA	NA	NA	NA
LINC00877	285286	1.13812	0.879802	NA	NA	NA	NA
LINC00882	100302640	0.674331	0.2405	NA	NA	NA	NA
LINC00884	401106	0.0366014	0.0326528	NA	NA	NA	NA
LINC00886	730091	0.102435	0.273859	NA	NA	NA	NA
LINC00888	100505687	15.9117	16.8821	NA	NA	NA	NA
LINC00899	100271722	0.107999	0.221931	NA	NA	NA	NA
LINC00900	283143	1.64985	1.15348	NA	NA	NA	NA
LINC00907	284260	0.195658	0.293501	NA	NA	NA	NA
LINC00908	284276	0.233186	0.398412	NA	NA	NA	NA
LINC00909	400657	9.26229	14.7078	NA	NA	NA	NA
LINC00910	100130581	0.245868	0.238935	NA	NA	NA	NA
LINC00920	100505865	5.54237	3.59578	NA	NA	NA	NA
LINC00926	283663	2.30151	3.3954	NA	NA	NA	NA
LINC00928	283761	0.171022	0.153147	NA	NA	NA	NA
LINC00937	389634	0.782079	0.691761	NA	NA	NA	NA
LINC00938	400027	11.4984	10.0008	NA	NA	NA	NA
LINC00941	100287314	0.843563	1.87931	NA	NA	NA	NA
LINC00951	401260	0	0.112998	NA	NA	NA	NA
LINC00957	255031	0.0189838	0.076066	NA	NA	NA	NA
LINC00960	401074	0.0399121	0.231649	NA	NA	NA	NA
LINC00963	100506190	2.18035	4.70008	NA	NA	NA	NA
LINC00965	349196	0.436868	0.660228	NA	NA	NA	NA
LINC00973	100506377	0.236654	0	NA	NA	NA	NA
LINC00987	100499405	0.0219704	0.119553	NA	NA	NA	NA
LINC00999	399744	0.113885	0.101828	NA	NA	NA	NA
LINC01001	100133161	0.601109	0.335457	NA	NA	NA	NA
LINC01003	100128822	3.62049	4.47365	NA	NA	NA	NA
LINC01004	100216546	3.96767	6.40016	NA	NA	NA	NA
LINC01006	100506380	2.63253	2.78764	NA	NA	NA	NA
LINC01011	401232	2.2551	2.03453	NA	NA	NA	NA
LINC01013	100507254	0.237458	0.105848	NA	NA	NA	NA
LINC01023	100652853	0.744986	1.17245	NA	NA	NA	NA
LINC01060	401164	0.625742	0.323467	NA	NA	NA	NA
LINC01088	100505875	0.0906183	0.256821	NA	NA	NA	NA
LINC01090	104355152	0	0	NA	NA	NA	NA
LINC01091	285419	8.31286	12.8931	NA	NA	NA	NA
LINC01094	100505702	0.191797	0.103777	NA	NA	NA	NA
LINC01096	285548	0.0850464	0.0379923	NA	NA	NA	NA
LINC01102	150568	3.75733	7.11856	NA	NA	NA	NA
LINC01106	151009	0.283135	0.306812	NA	NA	NA	NA
LINC01114	284998	2.51198	2.48769	NA	NA	NA	NA
LINC01116	375295	0.0705337	0.0334775	NA	NA	NA	NA
LINC01118	388948	0.212923	0.176158	NA	NA	NA	NA
LINC01119	100134259	0.508787	0.528191	NA	NA	NA	NA
LINC01122	400955	1.83469	2.34407	NA	NA	NA	NA
LINC01128	643837	6.66684	4.56165	NA	NA	NA	NA
LINC01137	728431	0.113562	0.540998	NA	NA	NA	NA
LINC01139	339535	0.0677104	0.0604681	NA	NA	NA	NA
LINC01140	339524	0.0208542	0.062903	NA	NA	NA	NA
LINC01152	102606463	2.18536	2.38094	NA	NA	NA	NA
LINC01159	102682016	15.6511	11.3957	NA	NA	NA	NA
LINC01160	100129269	0.237451	0.41811	NA	NA	NA	NA
LINGO1	84894	10.0746	4.69482	cerebral-cortex	glial-cells	High	Enhanced
LINGO2	158038	2.52185	1.09651	cerebral-cortex	glial-cells	Low	Approved
LIPA	3988	15.8033	25.2685	NA	NA	NA	NA
LIPE	3991	5.15263	4.92925	NA	NA	NA	NA
LIPE-AS1	100996307	3.08329	2.89109	NA	NA	NA	NA
LIPG	9388	22.8101	23.6038	NA	NA	NA	NA
LIPH	200879	0.12878	0.195527	NA	NA	NA	NA
LIPI	149998	0.166059	0.0889726	NA	NA	NA	NA
LIPT1	51601	3.8178	5.78592	NA	NA	NA	NA
LIPT2	387787	1.55813	2.26269	cerebral-cortex	glial-cells	Medium	Approved
LITAF	9516	15.0222	19.2705	cerebral-cortex	glial-cells	Low	Approved
LIX1	167410	0.736642	2.40579	NA	NA	NA	NA
LIX1L	128077	0.528853	0.428857	NA	NA	NA	NA
LL0XNC01-250H12.3	100506901	0.328045	0.694184	NA	NA	NA	NA
LLGL1	3996	36.8158	34.6566	cerebral-cortex	glial-cells	Low	Enhanced
LLGL2	3993	0.344244	0.350083	NA	NA	NA	NA
LLPH	84298	24.0983	30.2665	NA	NA	NA	NA
LMAN1	3998	25.6531	19.834	cerebral-cortex	glial-cells	Low	Supported
LMAN2	10960	58.2551	69.3289	NA	NA	NA	NA
LMAN2L	81562	22.6001	25.224	cerebral-cortex	glial-cells	Low	Approved
LMBR1	64327	21.9091	19.2134	NA	NA	NA	NA
LMBR1L	55716	34.7573	35.7018	NA	NA	NA	NA
LMBRD1	55788	22.2128	27.3224	NA	NA	NA	NA
LMBRD2	92255	4.348	3.52881	cerebral-cortex	glial-cells	Medium	Approved
LMCD1	29995	6.35546	4.71449	NA	NA	NA	NA
LMCD1-AS1	100288428	0.583242	0.478664	NA	NA	NA	NA
LMF1	64788	4.08828	4.24871	NA	NA	NA	NA
LMF2	91289	40.7641	32.8559	NA	NA	NA	NA
LMLN	89782	3.66124	3.84656	NA	NA	NA	NA
LMNA	4000	47.4862	74.1526	cerebral-cortex	glial-cells	High	Supported
LMNB1	4001	156.613	101.365	cerebral-cortex	glial-cells	High	Supported
LMNB2	84823	47.352	34.0227	cerebral-cortex	glial-cells	High	Enhanced
LMO1	4004	4.13952	5.91962	NA	NA	NA	NA
LMO2	4005	1.26963	3.82955	cerebral-cortex	glial-cells	Medium	Approved
LMO3	55885	3.0114	2.07434	NA	NA	NA	NA
LMO4	8543	35.1823	44.0753	cerebral-cortex	glial-cells	Low	Approved
