SYMBOL	ENTREZID	ST.1	ST.4	ST.5	ST.6	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
CES3	23491	0.761157	1.10154	0.761152	0.457828	cerebral-cortex	glial-cells	Low	Approved
CES4A	283848	0.322683	1.13086	0.883981	0.261679	NA	NA	NA	NA
CETN2	1069	0.387643	0.280566	0.131696	0.246681	cerebral-cortex	glial-cells	Low	Approved
CETN3	1070	24.7287	14.8694	17.7317	20.8009	cerebral-cortex	glial-cells	High	Enhanced
CETN4P	729338	0.18111	0.37491	0.205311	0	NA	NA	NA	NA
CFD	1675	0.143699	0.172885	0.162901	0.388349	NA	NA	NA	NA
CFDP1	10428	82.7955	59.6173	63.1825	82.0633	cerebral-cortex	glial-cells	Low	Approved
CFH	3075	0	0.102344	0.157645	0.039769	NA	NA	NA	NA
CFI	3426	89.7226	97.2594	179.607	94.8787	NA	NA	NA	NA
CFL1	1072	615.453	580.688	482.193	532.147	NA	NA	NA	NA
CFL1P1	142913	4.24355	3.35585	2.63508	6.75986	NA	NA	NA	NA
CFL1P2	391039	0.100472	0	0.227797	0.523663	NA	NA	NA	NA
CFL1P3	100131874	1.00717	0.869188	2.28465	1.46169	NA	NA	NA	NA
CFL1P4	645980	6.70017	8.45722	6.66923	4.06942	NA	NA	NA	NA
CFL1P7	100505919	0.340604	0.881346	0.965299	2.07111	NA	NA	NA	NA
CFL2	1073	52.8154	55.944	54.0493	51.6534	NA	NA	NA	NA
CFLAR	8837	8.56064	6.49811	10.1142	19.5886	NA	NA	NA	NA
CFLAR-AS1	65072	0.251037	0.510205	0.919925	0.599783	NA	NA	NA	NA
CFP	5199	0.632337	0.919324	1.15639	0.368866	NA	NA	NA	NA
CGB7	94027	0.0714179	1.62532E-05	0.103604	0.269993	NA	NA	NA	NA
CGGBP1	8545	72.7047	66.4487	78.7294	78.7595	cerebral-cortex	glial-cells	Medium	Supported
CGN	57530	3.6157	1.8786	1.88491	0.929731	NA	NA	NA	NA
CGNL1	84952	1.71913	0.850902	1.09291	1.26692	NA	NA	NA	NA
CGREF1	10669	2.53944	3.68897	3.35428	2.20222	NA	NA	NA	NA
CGRRF1	10668	13.489	9.7201	9.90813	9.40251	NA	NA	NA	NA
CHAC1	79094	0.887851	1.18893	1.10493	1.24201	cerebral-cortex	glial-cells	Medium	Approved
CHAC2	494143	2.12284	4.61862	4.56745	2.93541	NA	NA	NA	NA
CHAD	1101	0.126191	0.130612	0.178817	0.229991	NA	NA	NA	NA
CHADL	150356	1.06819	1.14624	0.551753	1.22848	NA	NA	NA	NA
CHAF1A	10036	22.9161	38.5771	35.9042	13.8309	NA	NA	NA	NA
CHAF1B	8208	4.42574	6.79087	7.43548	3.15559	NA	NA	NA	NA
CHCHD1	118487	15.0024	12.9989	13.9876	14.9458	cerebral-cortex	glial-cells	Low	Approved
CHCHD10	400916	11.0799	7.59108	11.0034	14.1202	NA	NA	NA	NA
CHCHD2	51142	92.7833	34.2437	73.56	106.043	NA	NA	NA	NA
CHCHD2P11	101060040	0	0.196249	0.214968	0.109857	NA	NA	NA	NA
CHCHD2P6	645317	1.77579	0.612653	0.850336	1.18467	NA	NA	NA	NA
CHCHD3	54927	223.848	218.202	196.062	165.167	cerebral-cortex	glial-cells	Medium	Enhanced
CHCHD3P3	646572	6.52217	8.6958	6.51651	3.39296	NA	NA	NA	NA
CHCHD4	131474	5.00492	4.42883	5.2963	3.95154	NA	NA	NA	NA
CHCHD4P3	106480792	1.95307	0.091849	4.27671	0.899519	NA	NA	NA	NA
CHCHD4P5	106479039	0.21479	0.22231	0.243503	0.373144	NA	NA	NA	NA
CHCHD5	84269	21.4915	17.7964	17.5119	21.5351	NA	NA	NA	NA
CHCHD6	84303	14.0496	17.9119	17.0416	15.8388	NA	NA	NA	NA
CHCHD7	79145	7.54813	10.4282	9.13175	9.81409	NA	NA	NA	NA
CHD1	1105	62.9493	75.7957	105.947	72.2327	NA	NA	NA	NA
CHD1L	9557	0	0.343158	0.300696	0.204789	cerebral-cortex	glial-cells	Medium	Enhanced
CHD2	1106	139.155	133.252	141.246	163.219	cerebral-cortex	glial-cells	Low	Enhanced
CHD3	1107	40.6995	53.8655	65.6282	51.2419	NA	NA	NA	NA
CHD4	1108	205.12	256.473	230.503	187.3	cerebral-cortex	glial-cells	High	Supported
CHD5	26038	2.66993	0.608629	2.44055	5.91243	NA	NA	NA	NA
CHD6	84181	67.6784	67.3148	77.7525	86.3362	NA	NA	NA	NA
CHD7	55636	71.1085	188.647	141.427	86.8456	NA	NA	NA	NA
CHD8	57680	65.4081	67.6038	78.4498	66.7533	NA	NA	NA	NA
CHD9	80205	45.6401	76.9353	86.8934	70.7775	NA	NA	NA	NA
CHDH	55349	4.02333	2.92211	4.81354	3.15654	cerebral-cortex	glial-cells	Medium	Enhanced
CHEK1	1111	47.4149	45.6055	56.816	36.9126	NA	NA	NA	NA
CHEK2	11200	7.32775	19.5762	12.5075	14.9589	cerebral-cortex	glial-cells	Low	Enhanced
CHERP	10523	5.41205	7.29674	7.63211	4.80808	NA	NA	NA	NA
CHFR	55743	31.4751	26.3397	32.6611	29.989	NA	NA	NA	NA
CHGA	1113	0.130295	1.02752	0.518368	0.920595	NA	NA	NA	NA
CHGB	1114	0.144762	0.748277	0.710145	0.721255	NA	NA	NA	NA
CHI3L1	1116	0.200277	2.28924	0.199622	0.378905	NA	NA	NA	NA
CHI3L2	1117	0.172434	1.03463	0.487987	0.714277	NA	NA	NA	NA
CHIC1	53344	3.40898	4.48922	3.82427	4.31779	NA	NA	NA	NA
CHIC2	26511	26.7856	36.5764	39.3847	21.4617	NA	NA	NA	NA
CHID1	66005	33.3618	19.3988	19.884	24.6647	NA	NA	NA	NA
CHIT1	1118	0.54706	0.195812	0.0101741	0.748787	NA	NA	NA	NA
CHKA	1119	34.6479	49.8534	50.2084	49.4821	NA	NA	NA	NA
CHKB	1120	34.7935	29.6385	35.3266	36.7089	NA	NA	NA	NA
CHKB-CPT1B	386593	5.29525	12.4346	11.7348	15.7251	NA	NA	NA	NA
CHL1	10752	177.222	156.169	213.047	271.604	cerebral-cortex	glial-cells	Low	Enhanced
CHL1-AS1	101927193	5.60756	5.30693	7.88542	7.29643	NA	NA	NA	NA
CHL1-AS2	101927174	2.06158	3.51238	2.89405	3.93087	NA	NA	NA	NA
CHM	1121	18.7782	15.7609	17.8931	20.4241	NA	NA	NA	NA
CHML	1122	7.66885	11.6544	10.7091	7.08863	NA	NA	NA	NA
