Objective,FSR_SKO_1,FSR_SKO_2,FSR_SKO_3,FSR_SKO_4,FSR_SKO_5,FSR_SKO_6,FSR_SKO_7,FSR_SKO_8,FSR_SKO_9,FSR_SKO_10,FSR_SKO_11,FSR_SKO_12,FSR_SKO_13,FSR_SKO_14,FSR_CKO_ALL
'HMR_1467',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1470',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1473',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1484',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1490',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1493',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1494',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1495',1,1,1,1,1,1,1,1,1,1.02777777777778,0.999999999999999,1,1,1,Inf
'HMR_1496',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1500',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1502',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1503',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1504',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1505',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1509',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1512',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1516',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1526',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1536',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1538',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1539',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1540',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1543',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1544',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1545',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1546',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1547',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1548',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1549',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1550',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1551',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1552',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1557',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_1565',1,1,1,1,1,1,1,1,1,1.02777777777778,1,1,1,1,Inf
'HMR_4630',1,0.999999999999999,1,1,1,1,1,1,1,1.0001457645001,1,1,1,1,Inf
'HMR_4696',1,1.00746268656716,1,2.05970149253731,1,1,1,1,1,1,2.05970149253731,1,1,1,Inf
'HMR_4701',1,1.00746268656716,1,2.05970149253731,1,1,1,1,1,1,2.05970149253731,1,1,1,Inf
'HMR_6564',1,1,1,1,1,1,1,1,1,1,1,Inf,1,1,Inf
'HMR_6572',1,9,1,1,1,1,1,1,1,1,1,1,1,1,Inf
'HMR_6629',1,1,1,1,1,1,1,1,1,1.01714285714285,1,1,1,1,Inf
'HMR_6632',1,1,1,1,1,1,1,1,1,1.01714285714286,1,1,1,1,Inf
'HMR_6633',1,1,1,1,1,1,1,1,1,1.01714285714286,1,1,1,1,Inf
'HMR_6647',1,1,1,1,1,1,1,1,1,1.01714285714286,0.999999999999999,1,1,1,Inf
'HMR_9634',1,1,1,1,1,1,1,1,1,1.01185770750987,1,1,1,1,Inf
