SYMBOL	ENTREZID	BD_R.Veh.R1	BD_R.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
ARHGDIA	396	96.9222	124.055	cerebral-cortex	glial-cells	Low	Approved
ARHGDIB	397	1.92136	9.03781	cerebral-cortex	glial-cells	Medium	Enhanced
ARHGDIG	398	0.259793	1.21088	NA	NA	NA	NA
ARHGEF1	9138	0.351098	1.52034	NA	NA	NA	NA
ARHGEF10	9639	16.5034	12.0799	NA	NA	NA	NA
ARHGEF10L	55160	13.8482	11.769	cerebral-cortex	glial-cells	Low	Approved
ARHGEF11	9826	15.3776	12.5759	cerebral-cortex	glial-cells	Low	Enhanced
ARHGEF12	23365	24.6942	22.5487	NA	NA	NA	NA
ARHGEF16	27237	4.57727	2.95235	NA	NA	NA	NA
ARHGEF17	9828	37.847	26.7368	NA	NA	NA	NA
ARHGEF18	23370	12.9326	11.3708	NA	NA	NA	NA
ARHGEF19	128272	3.08655	1.84969	NA	NA	NA	NA
ARHGEF2	9181	32.7525	41.63	cerebral-cortex	glial-cells	Low	Approved
ARHGEF25	115557	21.053	20.1746	NA	NA	NA	NA
ARHGEF26	26084	7.42658	5.88247	NA	NA	NA	NA
ARHGEF26-AS1	100507524	0.253923	0.390994	NA	NA	NA	NA
ARHGEF28	64283	0.113883	0.244459	NA	NA	NA	NA
ARHGEF3	50650	0.729356	3.07401	NA	NA	NA	NA
ARHGEF33	100271715	0.352708	0.473367	NA	NA	NA	NA
ARHGEF37	389337	0.461812	0.436985	NA	NA	NA	NA
ARHGEF38	54848	0.0220545	0.00862092	NA	NA	NA	NA
ARHGEF39	84904	12.7345	6.36558	NA	NA	NA	NA
ARHGEF4	50649	3.72272	4.09439	NA	NA	NA	NA
ARHGEF40	55701	38.9435	55.5265	NA	NA	NA	NA
ARHGEF6	9459	20.2989	9.96232	NA	NA	NA	NA
ARHGEF7	8874	42.5255	35.9439	cerebral-cortex	glial-cells	Low	Approved
ARHGEF7-AS2	100874238	1.89461	0.78634	NA	NA	NA	NA
ARID1A	8289	59.919	46.6099	cerebral-cortex	glial-cells	Low	Supported
ARID1B	57492	20.9729	14.5716	cerebral-cortex	glial-cells	Low	Approved
ARID2	196528	20.0369	13.7671	NA	NA	NA	NA
ARID3A	1820	12.2318	10.3888	NA	NA	NA	NA
ARID3B	10620	17.7182	12.7088	NA	NA	NA	NA
ARID4A	5926	20.7623	17.8027	NA	NA	NA	NA
ARID4B	51742	28.7234	24.9606	cerebral-cortex	glial-cells	Low	Approved
ARID5A	10865	5.02854	7.26706	cerebral-cortex	glial-cells	Medium	Approved
ARID5B	84159	13.3504	5.76554	NA	NA	NA	NA
ARIH1	25820	21.057	19.5546	NA	NA	NA	NA
ARIH2	10425	48.0719	45.4093	NA	NA	NA	NA
ARIH2OS	646450	0.551493	0.586098	NA	NA	NA	NA
ARL1	400	23.6989	29.0591	cerebral-cortex	glial-cells	Medium	Approved
ARL10	285598	12.0205	8.76899	cerebral-cortex	glial-cells	Low	Approved
ARL13B	200894	11.852	12.259	NA	NA	NA	NA
ARL14EP	120534	21.329	22.8988	cerebral-cortex	glial-cells	Low	Approved
ARL15	54622	11.3651	10.9464	NA	NA	NA	NA
ARL16	339231	36.5797	43.4432	NA	NA	NA	NA
ARL17A	51326	0.45968	0.304528	NA	NA	NA	NA
ARL17B	100506084	1.8445	0.995119	NA	NA	NA	NA
ARL2	402	35.1079	41.2997	cerebral-cortex	glial-cells	Low	Supported
ARL2BP	23568	47.917	68.2847	cerebral-cortex	glial-cells	Low	Approved
ARL3	403	21.4697	17.4641	NA	NA	NA	NA
ARL4A	10124	55.074	37.0427	NA	NA	NA	NA
ARL4C	10123	15.5513	10.2996	NA	NA	NA	NA
ARL4D	379	3.6812	4.87621	NA	NA	NA	NA
ARL5A	26225	30.0346	29.8146	cerebral-cortex	glial-cells	Low	Approved
ARL5AP3	106480778	0.772402	0.963066	NA	NA	NA	NA
ARL5B	221079	21.281	18.484	cerebral-cortex	glial-cells	Low	Approved
ARL5C	390790	0.0652395	0.0819094	NA	NA	NA	NA
ARL6	84100	4.84382	4.24443	NA	NA	NA	NA
ARL6IP1	23204	229.708	174.42	NA	NA	NA	NA
ARL6IP1P2	646348	0.133069	0.124773	NA	NA	NA	NA
ARL6IP4	51329	86.5155	97.4018	cerebral-cortex	glial-cells	Medium	Approved
ARL6IP5	10550	38.4116	47.7304	cerebral-cortex	glial-cells	Low	Supported
ARL6IP6	151188	46.2673	44.2322	NA	NA	NA	NA
ARL8A	127829	20.0307	27.5075	cerebral-cortex	glial-cells	High	Approved
ARL8B	55207	25.7062	29.9446	cerebral-cortex	glial-cells	High	Approved
ARL9	132946	0	1.28447	NA	NA	NA	NA
ARMC1	55156	22.044	20.51	cerebral-cortex	glial-cells	Medium	Approved
ARMC10	83787	11.8975	13.09	cerebral-cortex	glial-cells	Medium	Enhanced
ARMC10P1	389137	0.368009	0.37525	NA	NA	NA	NA
ARMC12	221481	0.74551	1.46428	NA	NA	NA	NA
ARMC2	84071	3.95454	2.87878	NA	NA	NA	NA
ARMC3	219681	1.23955	0.140562	NA	NA	NA	NA
ARMC4	55130	1.66853	1.63878	NA	NA	NA	NA
ARMC5	79798	5.22192	6.47209	cerebral-cortex	glial-cells	Medium	Approved
ARMC6	93436	16.8152	17.1835	NA	NA	NA	NA
ARMC7	79637	9.5414	8.43392	NA	NA	NA	NA
ARMC8	25852	20.9965	15.6525	NA	NA	NA	NA
ARMC9	80210	15.6679	12.5149	cerebral-cortex	glial-cells	Low	Approved
ARMCX2	9823	0.894315	1.56318	cerebral-cortex	glial-cells	Low	Enhanced
ARMCX3	51566	8.11452	0.848171	NA	NA	NA	NA
ARMCX4	100131755	0.486349	0.437912	NA	NA	NA	NA
ARMCX5	64860	8.75666	7.52293	NA	NA	NA	NA
ARNT	405	14.7358	11.7223	NA	NA	NA	NA
ARNT2	9915	28.7065	20.1556	cerebral-cortex	glial-cells	Medium	Enhanced
ARNTL	406	6.09878	5.69865	cerebral-cortex	glial-cells	Low	Supported
ARNTL2	56938	4.23637	2.60936	NA	NA	NA	NA
ARPC1A	10552	72.6927	83.8566	cerebral-cortex	glial-cells	Medium	Approved
ARPC1B	10095	7.12407	19.2173	NA	NA	NA	NA
ARPC2	10109	119.539	169.342	cerebral-cortex	glial-cells	Medium	Approved
ARPC3	10094	117.226	140.588	cerebral-cortex	glial-cells	Low	Approved
ARPC3P1	87171	0.870424	0.544448	NA	NA	NA	NA
ARPC3P5	441131	0.433909	0.406708	NA	NA	NA	NA
ARPC4	10093	72.824	83.9019	NA	NA	NA	NA
ARPC4-TTLL3	100526693	13.2058	7.97885	NA	NA	NA	NA
ARPC5	10092	73.5729	96.8113	NA	NA	NA	NA
ARPC5L	81873	24.8694	35.5856	NA	NA	NA	NA
ARPP19	10776	97.2382	63.4573	NA	NA	NA	NA
ARPP21	10777	0.848933	0.560972	NA	NA	NA	NA
ARR3	407	0.138415	0	NA	NA	NA	NA
ARRB1	408	7.52337	5.48223	NA	NA	NA	NA
ARRB2	409	21.94	18.9429	NA	NA	NA	NA
ARRDC1	92714	13.5679	14.0806	NA	NA	NA	NA
ARRDC2	27106	0.165296	0.728237	NA	NA	NA	NA
ARRDC3	57561	18.4512	18.0892	NA	NA	NA	NA
ARRDC4	91947	2.96763	2.72564	cerebral-cortex	glial-cells	Medium	Approved
ARSA	410	11.8261	14.0762	cerebral-cortex	glial-cells	Medium	Enhanced
ARSB	411	8.00259	6.9538	cerebral-cortex	glial-cells	Medium	Approved
ARSD	414	2.58074	2.77896	cerebral-cortex	glial-cells	High	Approved
ARSG	22901	0.438711	0.709605	cerebral-cortex	glial-cells	Low	Enhanced
ARSI	340075	0.649673	1.85118	NA	NA	NA	NA
ARSJ	79642	0.451197	0.91633	NA	NA	NA	NA
ARSK	153642	5.02068	5.28299	cerebral-cortex	glial-cells	Medium	Approved
ART3	419	0.403097	0.677886	NA	NA	NA	NA
ART5	116969	1.44645	1.22492	NA	NA	NA	NA
ARTN	9048	1.48147	0.978937	NA	NA	NA	NA
ARV1	64801	12.7067	13.5993	cerebral-cortex	glial-cells	Medium	Approved
ARVCF	421	45.1	34.4037	NA	NA	NA	NA
AS3MT	57412	16.1945	13.1938	NA	NA	NA	NA
ASAH1	427	36.8347	37.4476	cerebral-cortex	glial-cells	Medium	Supported
ASAH2	56624	0.273974	0.254753	NA	NA	NA	NA
ASAH2B	653308	2.44846	1.95289	NA	NA	NA	NA
ASAP1	50807	17.9544	17.3349	NA	NA	NA	NA
ASAP2	8853	19.8376	18.819	cerebral-cortex	glial-cells	Medium	Approved
