	SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_R.Veh.R1	Ctrl_Fam.Veh.R1	Ctrl_NIH1.Veh.R1	BD_NR.Li.R1	BD_R.Li.R1	Ctrl_Fam.Li.R1	Ctrl_NIH1.Li.R1	BD_NR.Val.R1	BD_R.Val.R1	Ctrl_Fam.Val.R1	Ctrl_NIH1.Val.R1	BD_NR.Veh.R2	BD_R.Veh.R2	Ctrl_Fam.Veh.R2	Ctrl_NIH1.Veh.R2	BD_NR.Li.R2	BD_R.Li.R2	Ctrl_NIH1.Li.R2	BD_NR.Val.R2	BD_R.Val.R2	Ctrl_Fam.Val.R2	Ctrl_NIH1.Val.R2	Ctrl_Fam.Li.R2
DHX8	DHX8	1659	21.5108	22.2216	19.8343	21.8325	21.4839	20.6549	18.6808	22.62	22.2892	20.1808	19.9799	21.6385	21.7209	20.5168	20.443	20.9684	22.4915	20.0246	21.2007	21.4021	18.4854	20.2713	22.2232	20.482
DHX9	DHX9	1660	153.059	154.238	115.343	130.845	121.915	163.345	122.814	123.12	121.551	136.188	110.709	121.236	125.668	137.868	110.324	131.128	108.573	142.755	126.247	115.021	126.337	104.648	117.738	108.945
DHX9P1	DHX9P1	1661	0.13416	0.133778	0.175047	0.220973	0	0.0164864	0.208077	0.24158	0.272209	0.127003	0.16773	0.0674957	0.119709	0	0.0507843	0.168985	0.183327	0.150957	0.154937	0.0554696	0.0998688	0.0173378	0.0491864	0.0669612
DIABLO	DIABLO	56616	62.9672	76.674	58.45	50.7002	50.4428	70.0921	59.4308	55.0463	53.829	67.6713	74.455	56.3637	54.8844	63.2523	60.2308	62.0552	50.3152	61.1911	65.9852	59.576	75.2254	58.4678	67.6953	61.3388
DIAPH1	DIAPH1	1729	21.6066	25.8662	39.7076	32.8174	17.0717	34.1267	42.5168	27.3881	25.0467	29.7276	40.1516	32.162	25.3434	33.841	43.8221	25.7122	18.8413	32.4758	26.0037	26.9542	33.4899	41.1516	36.865	42.7493
DIAPH2	DIAPH2	1730	0.527403	1.1292	1.06043	2.1554	0.937838	1.29056	1.13613	1.75693	1.41518	3.07759	2.00823	4.24474	0.708802	1.38259	0.538465	1.45261	1.78633	1.23559	1.94982	1.75701	2.37431	2.17194	3.53304	0.572491
DIAPH3	DIAPH3	81624	6.11638	5.10086	5.06382	5.72105	7.61086	5.88011	6.12307	5.53681	11.1118	4.95303	4.17656	4.97427	9.88487	4.93701	4.54355	4.17105	9.85278	4.80498	4.05496	13.1893	5.67439	4.72585	6.50234	4.3505
DICER1	DICER1	23405	17.01	40.7708	10.3818	16.0617	32.1394	38.0656	10.5683	15.1408	28.6915	27.9725	9.23056	12.9783	24.037	17.5499	9.28527	9.2722	25.5949	20.1044	9.71588	25.9951	13.0872	12.1479	10.3826	8.13459
DICER1-AS1	DICER1-AS1	400242	7.07566	7.0198	5.17017	3.98066	4.01967	5.65672	4.693	5.80142	3.78275	7.61378	3.15019	5.18656	3.77963	6.78282	4.37758	6.18151	5.13801	7.19567	6.37887	2.27082	3.3939	2.58819	4.77504	5.45534
DIDO1	DIDO1	11083	16.1473	27.0911	15.6588	27.9377	24.1401	25.3399	14.215	26.0594	19.6046	22.8188	13.5584	21.7787	18.0207	19.2427	19.482	17.4812	19.8415	19.1661	19.6455	16.1927	13.5162	16.8079	23.1812	19.398
DIMT1	DIMT1	27292	18.9244	18.5555	18.7344	19.6903	20.1196	22.2401	18.3951	20.1249	18.4214	20.2573	16.2419	20.7474	18.3061	19.0258	17.7525	16.7689	17.6319	19.7901	18.6296	20.2715	20.201	19.7878	20.7574	20.4762
