	SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_R.Veh.R1	Ctrl_Fam.Veh.R1	Ctrl_NIH1.Veh.R1	BD_NR.Li.R1	BD_R.Li.R1	Ctrl_Fam.Li.R1	Ctrl_NIH1.Li.R1	BD_NR.Val.R1	BD_R.Val.R1	Ctrl_Fam.Val.R1	Ctrl_NIH1.Val.R1	BD_NR.Veh.R2	BD_R.Veh.R2	Ctrl_Fam.Veh.R2	Ctrl_NIH1.Veh.R2	BD_NR.Li.R2	BD_R.Li.R2	Ctrl_NIH1.Li.R2	BD_NR.Val.R2	BD_R.Val.R2	Ctrl_Fam.Val.R2	Ctrl_NIH1.Val.R2	Ctrl_Fam.Li.R2
RYKP1	RYKP1	6260	0.463487	0.375469	0.267211	0.647928	0.277823	0.215577	0.415467	0.60067	0.418165	0.326058	0.284121	0.221328	0.390269	0.441779	0.444077	0.499609	0.342558	0.311348	0.174021	0.0693444	0.480367	0.130153	0.214851	0.156958
RYR1	RYR1	6261	51.2086	0.642137	0.0365355	0.0693178	124.474	0.325735	0.189923	0.0229063	52.1781	0.553514	0.0217022	0.128557	24.7635	0.140166	0.00320254	0.00676506	21.6154	0.03774	0.00298253	13.3189	0.125105	0.124741	0.126173	0.141406
RYR2	RYR2	6262	0.178203	0.0783095	0.00309181	0.39258	0.230331	0.234536	0.00289055	0.601279	0.0738935	0.335095	0.00274932	0.358264	0.104993	0.353197	0.0511086	0.198841	0.122288	0.100725	0.16607	0.107513	0.0880653	0	0.138761	0
RYR3	RYR3	6263	1.51896	13.3276	6.88546	16.5629	3.09445	17.7169	7.47035	10.5305	1.13817	7.26211	5.56974	9.57566	3.2911	16.3362	4.43882	12.4914	2.54721	13.816	10.7036	2.99032	4.54976	4.29081	9.74722	5.24694
S100A1	S100A1	6271	1.94818	0.694645	0.586782	0.8755	1.81644	0.509515	0.682592	0.248786	0.480983	0.479468	0.422595	0.370014	0.767349	0.77224	2.66289	0.691273	0.73113	1.21285	0.471736	0.451717	1.09346	0.994275	0.331075	0.941407
S100A10	S100A10	6281	123.501	3.23847	286.532	4.306	76.8645	5.7385	549.336	4.70598	127.671	7.68928	436.342	13.3095	193.65	36.468	250.646	33.8263	216.592	30.731	59.1208	260.338	290.334	175.963	16.8984	296.674
S100A11	S100A11	6282	347.465	18.8765	253.985	21.094	264.927	22.4503	379.999	12.5568	351.211	49.3994	528.434	49.9699	499.061	156.365	235.123	45.0531	380.225	142.636	66.1845	677.809	497.33	287.823	79.4588	262.757
S100A13	S100A13	6284	200.63	42.1554	43.119	35.06	81.0239	33.7807	50.03	32.4557	141.412	46.6386	54.3635	44.1163	136.42	55.8164	71.8447	82.2116	110.293	52.2981	88.4035	154.384	143.822	40.8456	36.7041	78.3711
S100A16	S100A16	140576	17.6609	6.97064	25.0951	7.79488	8.65045	7.66025	38.7545	3.99611	23.0179	3.87247	40.0881	4.81511	34.5537	4.99445	60.1802	18.3859	18.756	5.89846	23.2085	40.2688	24.2275	25.873	3.80445	60.5127
S100A2	S100A2	6273	3.1426	0.190525	6.10849	0.348501	2.02093	0	11.0102	0	3.59398	0.139072	9.48497	0.0611773	5.27029	0.17848	5.07044	1.85649	2.51149	0	2.53648	6.28991	6.79727	3.78713	0.375755	5.81232
S100A3	S100A3	6274	0.187559	0	0.898806	0.13724	0	0	1.09318	0	1.51474	0	2.44085	0	1.57471	0	0.298962	0.22845	1.0235	0	0.204598	4.98864	1.63696	0.231266	0	0.593598
S100A4	S100A4	6275	79.3283	2.26039	19.8476	0.132117	51.5674	2.14578	33.4119	0.164779	106.223	3.62181	53.7897	0.321164	99.8835	12.5009	3.7278	3.28197	66.3796	6.09202	4.72969	236.282	81.1867	4.27185	0.929525	4.37758
S100A6	S100A6	6277	84.3318	0.622805	67.316	5.7824	41.7888	1.53346	94.9169	6.46633	127.947	0.961914	84.4182	7.69301	191.575	5.5464	49.1211	33.6342	118.118	2.93414	36.6117	389.455	47.12	34.0502	14.5844	54.5185
S100B	S100B	6285	1.27779	9.0331	324.72	369.341	1.00678	9.25829	229.528	346.143	0.943658	10.2859	291.482	371.027	3.1461	31.1608	571.228	435.137	4.06547	26.0985	401.093	3.01071	23.2089	432.426	353.275	618.35
S100P	S100P	6286	0.0505791	0.178498	0.36036	0	0.565273	1.01611	0.288728	0.0426993	0.0849596	0.506314	0.121102	0.402832	0.298935	0.251893	0.0905543	0.320309	0.356935	0.382773	0	0.0990036	0.266389	0	0.0875801	0.0897208
S100PBP	S100PBP	64766	19.5454	28.2782	22.206	30.5837	20.1431	25.4252	18.3434	24.5768	21.0109	25.0895	19.8393	26.088	27.1376	26.2604	20.7062	27.4094	30.0212	25.049	28.4413	22.213	19.8733	19.363	23.7041	18.3186
S1PR1	S1PR1	1901	1.52547	8.8059	3.73305	3.70479	1.97293	4.25092	1.3251	5.12675	4.06215	12.8381	5.66441	11.0725	3.09696	2.44117	6.63238	4.41176	1.86508	3.04557	3.93579	11.1278	5.07417	10.2764	8.07708	6.27486
S1PR2	S1PR2	9294	2.4637	1.93034	2.19922	0.650002	3.15821	1.50714	1.91823	0.851543	2.87122	3.18009	3.12984	0.901794	4.86833	6.23856	0.803842	0.663854	4.86857	4.21975	0.688535	4.94434	4.00881	0.981621	1.02014	0.647326
S1PR3	S1PR3	1903	19.8263	18.7307	34.5399	71.8375	27.2019	15.1612	40.7537	72.8258	46.9528	8.91179	33.7232	22.0364	55.5064	24.9053	17.5439	51.5177	32.2654	23.1452	54.198	61.7319	24.5439	28.1181	29.1175	18.0505
S1PR5	S1PR5	53637	4.93976	0.700851	0.793963	0.0702486	2.10862	0.690379	0.92555	0.0955428	5.55368	1.59049	1.58246	0.526979	3.85701	1.28682	0.276891	0.101633	2.30777	1.01065	0.0460514	9.3482	4.22656	0.387106	0.731108	0.298879
SAAL1	SAAL1	113174	27.8708	32.5339	17.1689	20.5777	22.7226	39.4113	16.4005	22.2933	24.4972	29.852	19.1727	20.8052	27.5576	28.461	19.6974	23.6828	28.9788	35.3044	26.425	26.9335	33.1297	17.3994	23.1975	18.9813
SAC3D1	SAC3D1	29901	16.3997	12.1545	12.2559	11.5648	8.77735	9.73277	12.0799	8.81731	11.6057	12.358	11.2871	9.31385	14.7709	12.7995	15.2797	14.4454	10.7915	10.8712	11.484	12.6868	15.1412	10.4609	13.6571	11.8786
SACM1L	SACM1L	22908	18.6206	26.8374	32.0661	27.3445	21.9095	30.0026	35.7208	32.0879	19.1177	28.8801	29.9875	29.65	20.628	27.5149	28.2811	25.1018	19.7311	28.6811	25.6193	22.3029	20.5141	32.8683	28.8315	25.3185
SACS	SACS	26278	22.0724	29.9075	23.329	23.7271	23.1223	36.6356	28.5679	29.6762	19.1149	30.7563	21.726	17.6273	19.3837	20.5121	21.955	21.3557	24.6529	23.8933	22.9017	23.8066	22.5592	21.217	14.5651	21.5051
SACS-AS1	SACS-AS1	100506680	0.238334	0.547914	0.0743464	0.294996	0.594698	0.513916	0.115648	0.300884	0.374013	0.766817	0.189819	0.421618	0.372506	0.294771	0.0792979	0.131657	0.381047	0.377355	0.145085	0.231045	0.378346	0.0813106	0.307065	0.104625
SAE1	SAE1	10055	129.849	172.794	86.5264	133.558	116.702	158.641	86.6871	127.701	138.734	146.182	88.6474	107.186	147.265	147.214	101.826	119.434	133.329	145.221	118.469	135.199	141.165	86.2317	123.058	109.566
SAFB	SAFB	6294	51.015	86.45	55.8588	67.0167	67.6286	79.7566	57.1892	70.7032	61.097	73.1787	43.8048	65.21	63.9526	77.5906	56.4242	63.352	59.0302	72.7892	68.871	64.2798	56.5237	51.4648	63.4292	61.2421
SAFB2	SAFB2	9667	31.2208	34.6431	32.4974	29.9726	32.245	37.1927	31.6916	33.983	31.1655	29.6984	26.0269	29.7948	33.8799	34.241	39.0078	32.2907	29.5059	34.6868	28.7128	35.4227	30.3685	34.9849	33.9341	39.6285
SALL1	SALL1	6299	8.93378	75.392	57.849	39.751	12.8342	61.4029	52.1013	47.4484	11.792	62.4246	42.0759	28.8348	11.5041	42.7269	58.4243	34.5659	16.3464	41.4612	37.4713	14.1905	31.9861	48.1412	25.5056	56.1796
SALL2	SALL2	6297	19.6028	153.767	26.21	81.6866	19.8241	142.065	17.9217	79.6574	17.5113	97.1261	22.5195	60.2685	23.1822	85.6864	45.4242	61.1053	32.6531	93.9869	66.6206	20.7403	45.9608	33.6975	51.1582	45.0466
SALL4	SALL4	57167	0.661363	33.165	0.71045	12.6644	1.7109	27.402	2.08018	12.1422	3.3511	21.8834	2.20676	12.7619	2.69156	11.2353	2.20838	7.11133	6.22295	13.7677	10.0631	5.25398	8.00445	2.48099	13.1941	2.34558
SAMD1	SAMD1	90378	43.1352	34.3193	28.9034	33.337	29.8951	27.0371	23.7618	28.9661	34.5635	29.9269	21.6263	27.4739	44.0139	35.0042	27.5114	30.1419	33.3319	30.9635	28.1137	32.6341	28.7793	21.6509	31.1564	27.5884
SAMD10	SAMD10	140700	2.94303	4.69837	4.3046	4.49713	2.75748	4.18948	3.16736	5.17293	2.09961	4.45962	4.06363	3.5061	2.67053	4.97444	6.07794	5.05277	3.95751	4.58958	3.95417	2.72898	3.60883	4.84056	4.58767	7.26483
SAMD11	SAMD11	148398	13.4945	0.452339	0.785315	0.244747	6.51668	0.390162	1.58915	0.346738	1.9476	0.673049	0.91113	1.20366	3.34952	0.626145	0.257981	0.559384	1.87359	0.36938	0.288554	2.92217	2.26933	0.207819	0.554539	0.469454
SAMD12	SAMD12	401474	0.0574753	0.751158	0.278917	0.104939	0.268943	0.4776	0.187299	0.4415	0.423954	1.54394	0.392878	0.677332	0.288863	0.280384	0.0448814	0.229516	0.311637	0.432367	0.16955	0.709524	0.660465	0.607612	0.2957	0.121962
SAMD13	SAMD13	148418	3.55222	0.87077	3.48046	2.03285	4.59876	0.257655	3.1496	2.83235	5.76729	2.88888	3.52979	4.63866	2.35944	0.623054	3.97633	3.32721	5.05612	0.991557	1.98861	3.94175	3.29953	2.96009	3.61382	3.46043
SAMD14	SAMD14	201191	10.6874	14.2407	5.70826	17.006	10.5674	13.3849	5.4078	13.2435	18.8477	23.2351	8.23966	19.3432	19.0753	20.6264	8.72438	14.2681	17.1816	19.5545	16.8859	20.2963	19.3153	9.31111	23.0055	9.34524
SAMD15	SAMD15	161394	0.700635	2.71508	1.2005	1.84243	0.617192	3.23455	0.885243	2.27125	1.30753	2.51871	1.77927	1.45824	1.1478	1.96284	1.3212	1.55845	1.89393	2.17229	2.16823	1.08033	1.51016	1.20336	1.25696	1.97511
SAMD3	SAMD3	154075	0.360008	0.120788	0.348852	0.329609	0.085892	0.0564989	0	0.53654	0.346047	0.206388	0.906776	0.492847	0.18059	0.193038	0.0139448	0.131013	0.546641	0	0.523013	0.528091	0.38561	0.0917402	0.69512	0.0851252
SAMD4A	SAMD4A	23034	11.5206	7.43758	17.3478	22.1503	19.8651	7.52806	18.3348	16.5808	12.1198	4.26314	9.05307	17.9403	7.1753	6.00194	13.138	13.1708	7.84364	6.0133	11.888	8.54246	5.12473	15.1402	15.7456	11.9479
SAMD4B	SAMD4B	55095	42.0325	64.2753	60.6845	55.3392	48.4564	54.4669	62.2042	48.7152	48.6929	52.0129	49.4787	47.2562	49.467	50.8676	85.0318	47.726	52.5052	47.3715	52.0948	48.3329	44.5738	68.7194	43.9999	79.9883
SAMD5	SAMD5	389432	8.9099	0.857181	0.84827	2.19195	7.79934	1.35347	0.807308	2.96223	11.4884	1.0243	1.73127	2.8068	8.9074	1.23061	0.107359	2.55363	7.04627	1.86069	2.48793	16.845	1.61619	0.498513	4.17706	0.138754
SAMD8	SAMD8	142891	6.61641	7.47535	21.2784	13.1582	8.80969	8.73151	18.7351	13.5214	8.36098	8.97928	17.9756	17.0417	8.99635	8.05554	21.5847	12.1995	9.19443	8.83037	12.6696	9.4938	7.83687	30.3729	13.8855	19.1674
SAMD9	SAMD9	54809	1.14742	0.0722696	1.72267	0.943066	1.64615	0.0758225	1.42329	1.10256	2.61804	0.178632	2.0022	1.46538	1.78351	0.347263	1.7106	0.719111	1.54434	0.273687	0.876947	2.42656	0.727727	3.53541	1.82759	1.71943
SAMD9L	SAMD9L	219285	0.635846	0.0513349	1.53862	0.5063	0.59254	0.241711	1.69223	0.53807	0.704809	0.195669	2.33395	1.05244	0.465633	0.229584	2.1251	0.357916	0.197849	0.277248	0.513012	0.722166	0.961841	3.27799	0.894656	1.84409
SAMHD1	SAMHD1	25939	3.41288	4.39868	4.79971	4.09298	4.15072	4.67192	5.47993	5.00379	6.63788	6.72898	8.94595	7.44016	4.85472	5.42553	5.25139	5.39765	5.44541	5.21263	7.49263	9.73585	8.19089	6.90187	9.65633	5.76774
SAMM50	SAMM50	25813	38.5861	28.1468	28.1393	26.2233	32.916	25.8197	30.8056	25.7256	33.3083	27.632	35.1494	29.4213	35.3608	30.869	28.7013	34.1864	33.116	31.4654	35.9973	39.858	37.5156	26.9975	28.094	31.2856
SAP130	SAP130	79595	12.1226	18.9075	15.9398	20.3666	15.0294	17.5844	14.7382	19.3856	16.8631	17.2234	14.4392	18.8318	14.5244	15.5251	13.3938	17.4988	15.9183	16.2244	19.5809	17.0787	16.2571	16.5406	20.753	15.0976
SAP18	SAP18	10284	131.909	58.1016	78.142	79.9827	101.839	64.1101	101.259	87.1364	92.9866	46.9863	107.077	92.2796	94.7085	56.8877	82.327	111.67	88.3992	64.7996	101.878	94.3308	73.528	72.9889	90.7887	83.3232
SAP30	SAP30	8819	18.0976	23.4517	28.3637	18.1133	10.7086	23.3709	28.2586	16.1895	14.0558	23.5449	19.8667	17.8285	17.0411	25.0446	21.221	22.078	23.248	25.5601	17.1218	17.0229	25.8085	22.1561	18.94	17.3535
SAP30BP	SAP30BP	29115	47.1589	45.7555	59.669	45.3855	45.5232	44.7309	62.7463	36.8617	37.7209	44.3968	75.7637	41.2717	48.3339	48.7512	68.0774	48.8648	43.5172	43.3231	43.1478	43.8119	45.1771	49.7835	41.0204	72.5683
SAP30L	SAP30L	79685	16.3012	21.4176	18.8156	21.2631	14.0013	19.1993	22.9482	20.9169	20.2655	24.3951	14.2595	22.442	28.7079	17.7018	16.04	18.0494	17.9461	21.0544	24.3148	22.2599	19.4979	21.7632	20.0101	13.4348
SAP30L-AS1	SAP30L-AS1	386627	0.337765	0.418425	0.699187	1.03331	0.490168	0.972025	0.779166	1.29412	0.803977	1.06229	0.438204	0.901317	0.505093	0.678252	0.447598	0.518347	1.15192	0.58525	0.905141	1.18114	0.628754	0.897671	0.97559	0.40486
SAPCD2	SAPCD2	89958	9.42295	14.3128	7.83116	7.45614	7.79702	11.5444	6.88503	9.84146	8.62229	15.5847	3.04229	5.25372	6.65443	9.33963	8.35332	6.806	7.92376	8.87774	6.37967	6.02699	8.58988	4.28247	7.02788	9.42776
SAR1A	SAR1A	56681	66.0175	45.1665	62.8277	52.583	63.6013	47.415	64.1908	55.5476	58.4233	45.818	56.1915	53.5406	56.5358	48.1144	57.2302	51.2323	55.078	49.5899	54.193	62.5209	46.3451	61.235	52.0565	48.9113
SAR1B	SAR1B	51128	28.1195	17.0714	31.1705	21.5645	27.2475	20.2561	32.2399	23.6881	25.234	21.9014	36.1676	22.4093	26.221	22.3779	27.0968	28.4341	20.3955	24.9639	22.4956	31.2211	32.7278	34.698	25.6142	24.6969
SARDH	SARDH	1757	1.38044	1.38037	0.382432	0.195688	1.16671	1.47715	0.269348	0.0789355	2.25545	1.18017	0.518023	0.182542	2.15684	0.78095	0.646459	0.0996791	2.70805	0.82593	0.122506	1.85753	0.571385	0.571548	0.357831	0.63485
SARM1	SARM1	23098	0.0162704	0.202658	0.443299	0.711262	0.0123658	0.0677728	0.463688	0.857476	0.0625469	0.0826602	0.643525	1.01021	0.0158407	0.0250429	0.486479	1.10798	0.0645881	0.0363206	1.18796	0.059138	0.104679	0.589216	1.34458	0.739059
SARNP	SARNP	84324	134.605	104.369	85.7257	96.2195	82.287	98.7585	96.7932	104.546	77.6533	86.7783	87.3949	93.3485	84.8374	100.679	91.1643	116.503	98.23	119.529	112.525	84.8073	106.873	79.374	89.964	108.839
SARS2	SARS2	54938	25.2987	24.1095	10.8215	24.9073	22.0549	23.0564	10.6487	22.3154	17.348	13.5976	10.9185	17.7137	25.1179	16.786	21.7063	16.5267	22.0585	14.0972	19.5362	13.22	9.99242	12.3523	17.7407	20.7855
SART1	SART1	9092	41.19	32.6636	26.2144	25.7886	35.0302	25.5486	23.8386	25.377	28.7331	30.9781	26.3333	24.9532	36.1541	36.3692	31.1721	30.1459	32.4395	26.6838	29.6529	30.8355	29.3659	21.7475	25.72	28.1472
SART3	SART3	9733	25.0082	37.3654	25.4465	33.8894	35.1022	41.064	22.3632	37.1197	36.6659	34.7365	24.3303	31.9703	33.923	32.8692	25.0396	30.1732	32.6934	33.9595	32.1856	32.7086	26.0572	25.0319	33.2616	27.0028
SASH1	SASH1	23328	13.7103	9.07816	14.7907	24.5701	16.811	8.44636	10.2926	20.1891	12.6462	9.53384	9.08197	28.5908	13.889	10.1008	13.7952	21.1439	12.5103	10.0286	22.639	14.7622	9.52537	19.0747	25.4845	12.7739
SASS6	SASS6	163786	4.3794	8.26652	3.40962	6.25845	6.41407	9.37279	3.04757	6.40109	8.06821	8.01264	2.91028	5.549	7.52604	5.74799	2.97523	4.83372	7.45765	7.01548	5.895	7.15082	5.93716	3.30556	5.91909	3.27043
SAT1	SAT1	6303	35.2817	45.7482	217.741	71.9582	20.4876	47.5784	208.889	80.5611	23.1734	60.0411	214.905	76.9769	47.6421	93.98	217.674	191.878	46.478	101.496	174.564	43.2853	83.0258	195.258	88.958	210.277
SAT2	SAT2	112483	99.2258	81.8811	65.463	54.9021	66.3862	65.9564	65.3374	68.5934	40.9926	57.6635	51.183	52.2225	59.648	93.1143	86.5289	81.06	55.7043	79.7391	75.4114	36.6536	53.9557	64.3577	50.5035	79.6878
SATB1	SATB1	6304	8.01162	14.8221	10.9955	12.3212	18.5018	15.1582	8.2062	13.2626	12.4026	17.7515	9.2767	17.4426	6.39766	13.3591	10.0774	11.3878	10.3976	13.6463	9.87674	7.91344	10.7048	16.5145	12.1449	6.59634
SATB2	SATB2	23314	1.2694	2.67942	11.2332	5.65939	2.23111	3.03652	10.6506	5.3251	3.15571	7.33745	7.99009	9.51282	3.7484	3.4126	10.6046	3.83233	3.70849	3.49102	4.72648	3.96071	5.34297	13.8422	7.32272	9.29298
SATB2-AS1	SATB2-AS1	150538	0.146898	0.175738	0.347542	0.116835	0.0810095	0.0632861	0.367667	0.164667	0.467365	0.395758	1.71878	0.97597	0.985338	0.166766	0.511984	0.178168	0.371311	0.382531	0.0148674	0.559234	0.143342	0.09981	0	0.221461
SATL1	SATL1	340562	1.18322	0.629317	1.17141	0.743659	0.40572	0.655792	0.874727	0.758549	0.660015	0.982069	1.23385	0.622514	0.836479	0.905449	0.924194	0.933393	0.540252	0.668548	0.559541	0.518507	0.71516	0.768228	0.846387	0.735755
SAV1	SAV1	60485	13.1596	12.3264	13.0127	14.0841	11.3569	12.5222	11.4737	14.0585	13.3402	11.4585	9.03915	12.2165	12.5031	12.9766	9.66531	11.7458	12.9052	13.2626	12.1406	13.6954	12.8071	10.5095	12.1382	9.63299
SAYSD1	SAYSD1	55776	6.25064	6.33273	5.87043	5.72155	5.68435	7.50189	5.04452	7.68305	4.43554	8.00765	4.43602	5.87692	6.73967	9.16476	5.96585	7.04268	6.80621	8.62451	6.77929	3.93675	7.11004	5.40071	5.4493	5.88966
SBDS	SBDS	51119	88.1274	27.736	62.7075	33.41	86.5556	29.4536	74.1766	33.7233	47.0638	30.7031	75.9307	36.4823	45.0106	34.283	58.879	45.3487	37.0429	30.467	43.517	51.5749	43.9018	60.1846	35.6644	60.4931
SBDSP1	SBDSP1	155370	10.4426	2.95801	8.96728	3.1421	8.57296	2.50275	11.9596	3.87413	8.40359	5.53069	11.1738	5.63717	5.84847	2.77006	6.62886	6.35926	5.68234	3.10571	3.30059	11.2224	2.64196	7.17451	6.92183	7.74225
SBF1	SBF1	6305	26.3429	29.0173	28.122	32.2914	25.1859	27.6602	28.2706	26.7803	25.7702	27.4513	31.4182	28.3334	23.8032	29.1946	36.431	28.5473	20.3345	23.2201	26.3179	20.7607	21.7506	30.1381	28.2761	36.3618
SBF2	SBF2	81846	13.0338	19.2725	25.0452	22.4781	13.7529	20.1222	24.7029	26.6234	15.2327	26.7117	24.9241	26.7281	14.3317	18.0631	24.6114	22.2449	17.4138	15.5653	19.2497	15.9525	17.058	37.0416	23.6642	23.4742
SBF2-AS1	SBF2-AS1	283104	0.825847	0.342512	0.31378	0.323339	0.813591	0.591291	0.320534	0.339315	1.7307	0.421607	1.01937	0.364949	0.579368	0.371251	0.776677	0.400481	0.531236	0.355053	0.726852	1.12915	0.585599	0.708321	1.05983	1.31148
SBK1	SBK1	388228	9.21268	38.3171	7.83043	17.8363	9.04878	33.8062	6.93285	17.1016	13.6809	39.2057	9.61561	23.2207	15.2306	28.3657	10.537	14.4365	15.7577	25.056	15.7634	15.2312	20.0252	13.4426	19.3852	9.8033
SBK3	SBK3	100130827	0.306268	0.832668	0.0852389	0	0.28698	0.354117	0	0.0430953	0.814609	0.586107	0	0.267668	0.279756	0.146013	0	0.11334	0.401485	0.122477	0.0835341	0.688017	0.15362	0	0.258307	0
SBNO1	SBNO1	55206	7.30344	13.545	11.9382	11.8119	11.736	14.9726	12.46	13.2104	11.4377	13.5434	9.01988	10.7237	12.0191	11.7712	8.24026	9.35107	12.1142	11.5994	10.6443	12.8484	10.0421	11.5118	9.3178	7.69616
SBNO2	SBNO2	22904	8.15852	5.4282	5.01142	5.15599	8.06375	6.25779	5.53715	4.03253	8.1424	5.12202	4.88231	4.07328	6.60599	5.77202	6.12422	5.60986	5.46745	5.09514	5.37184	5.62977	4.56338	5.61416	5.73204	7.27561
SBSPON	SBSPON	157869	0.505741	0.747799	0.91558	0.75674	0.808252	1.13265	0.867216	0.656426	0.550218	1.52202	0.402212	0.60617	0.574146	0.918223	0.54057	0.787547	0.927471	1.0603	0.804141	0.70845	0.729203	0.470411	0.615291	0.734871
SC5D	SC5D	6309	160.508	70.5526	59.0058	49.4896	175.621	89.8842	51.4388	46.6191	132.155	73.9532	66.2198	47.8769	78.5283	60.2985	45.348	44.5804	80.4261	67.6959	43.1616	102.943	62.4493	83.9063	49.1474	46.9173
SCAF1	SCAF1	58506	18.4424	20.6351	17.8665	21.1136	20.0998	17.4798	17.8025	16.4807	16.7902	17.5015	16.1287	18.6199	17.8082	20.5276	20.7851	16.5321	15.2558	15.4217	18.1407	14.9466	14.5745	16.1816	15.5786	19.8969
SCAF11	SCAF11	9169	50.8164	43.7937	43.9018	48.8445	86.8895	53.702	46.1778	43.7841	51.5997	41.5632	36.0473	41.0241	43.3527	35.7242	32.1594	38.6406	41.5682	35.8337	45.5571	39.374	34.3785	41.871	39.4604	31.3883
SCAF4	SCAF4	57466	15.4221	25.9701	14.4367	23.534	21.8467	28.0917	14.1753	20.4978	19.4264	25.0286	13.5053	20.9608	18.7849	20.5532	14.7088	15.8228	19.1624	19.7063	17.4187	18.1878	15.5056	15.0934	19.5022	15.2029
SCAF8	SCAF8	22828	17.6474	31.8049	17.0947	29.5805	24.379	33.2694	14.7169	26.8441	21.839	27.9414	17.3374	26.3729	20.8763	24.7767	17.7751	22.2268	19.9005	25.5841	23.9578	19.0905	17.561	19.906	22.715	16.0954
SCAI	SCAI	286205	3.19827	3.66179	2.24683	3.73473	6.46455	4.08761	1.53285	4.16583	3.43729	4.28272	3.06092	4.56761	2.86587	2.40913	2.74762	2.17043	3.71686	3.41157	2.78089	3.37971	2.56822	3.16787	3.71163	2.09103
SCAMP1	SCAMP1	9522	11.2874	10.5202	21.0876	15.9005	18.0993	13.0105	20.7508	18.5471	15.1589	18.0853	24.3458	21.8	12.7076	13.7904	15.0196	15.9186	16.3582	14.8268	16.9085	19.1983	18.78	28.2886	21.5868	14.6079
SCAMP2	SCAMP2	10066	23.5839	15.1558	25.7985	18.0959	24.1325	13.9842	28.0965	17.2146	18.0584	11.38	27.8307	18.4498	21.3412	18.0511	25.3574	19.8287	20.3235	14.5958	20.0184	20.6149	18.505	30.5065	18.4784	26.3802
SCAMP4	SCAMP4	113178	14.2396	25.7203	26.291	26.2651	18.305	21.7023	24.0543	26.578	17.0691	20.433	24.3907	23.9727	20.7936	23.0984	36.8332	24.4982	20.975	20.7594	28.3152	17.4619	21.8968	24.7866	29.0276	35.7029
SCAMP5	SCAMP5	192683	3.25287	21.104	10.8698	9.66689	3.20531	21.0276	10.7264	10.6457	9.03485	26.3357	18.3643	24.0744	5.50985	16.725	12.2694	11.2762	4.89089	16.3859	11.4071	12.654	20.5064	18.1672	18.0105	11.5501
SCAND1	SCAND1	51282	84.3075	50.1625	45.8393	41.455	41.0217	39.1711	47.2371	36.923	44.9848	46.6805	59.1648	39.3446	49.1617	54.2552	57.7578	61.7103	39.4192	45.5742	47.5578	48.047	60.2731	47.4915	43.3754	56.6583
SCAND2P	SCAND2P	54581	4.44032	10.8658	6.96503	6.05349	5.92933	7.87732	5.57933	7.9924	5.01647	8.96211	3.6248	5.98752	6.59249	6.63321	7.15048	5.39854	5.9972	8.84991	6.54273	4.71422	6.12645	5.66022	5.36494	6.36717
SCAP	SCAP	22937	28.3094	27.8161	19.5245	25.7184	40.9468	23.5492	16.6036	23.7404	28.4455	24.6895	23.1695	27.338	23.5069	25.9532	23.1969	23.285	23.4437	21.3732	21.8035	21.5525	19.0439	26.8199	26.1286	25.5945
SCAPER	SCAPER	49855	12.2945	4.65735	4.16286	6.40539	11.7596	5.85454	4.21192	7.893	4.86155	6.72302	5.40568	7.83951	5.95601	5.9157	7.46912	6.58035	7.96695	7.46205	5.16185	4.73382	6.51209	5.91328	8.11002	8.4191
SCARA3	SCARA3	51435	19.1605	15.1235	25.0903	22.7137	14.4848	11.912	25.8188	17.5855	13.1707	11.3174	26.0099	23.2587	21.1915	17.6564	37.1496	18.5027	19.2846	16.0875	17.8616	16.0779	18.0006	22.161	26.4191	34.9088
SCARA5	SCARA5	286133	4.44509	0	0.0334748	0.199757	6.70318	0	0	0.407361	2.80724	0.0512156	0.0253145	0.15975	0.741181	0.182304	0	0.106047	1.60726	0.0796476	0.198864	0.166697	0	0	0.138034	0.035225
SCARB1	SCARB1	949	14.3465	9.75659	22.0941	20.2717	14.1535	9.96701	24.6829	16.38	14.1219	10.3624	27.5131	15.2965	16.4183	13.4901	28.9496	19.133	18.7154	12.7574	20.7451	16.3154	18.2319	30.0235	22.2518	32.1928
SCARB2	SCARB2	950	45.888	36.3145	98.5926	101.12	58.9627	35.63	92.4555	114.48	52.4718	39.3239	105.877	133.666	50.2966	46.2854	96.5968	96.635	57.3075	45.5339	103.924	60.1085	55.4951	133.304	105.358	93.0475
SCARF1	SCARF1	8578	0.831142	0.41484	0.21508	0.167294	0.755324	0.365363	0.200504	0.10863	0.596476	0.404475	0.0440766	0.143823	2.38264	0.83286	0.219972	0.271371	1.2623	0.950247	0.199826	1.37112	0.391784	0.133614	0.157359	0.254835
SCARF2	SCARF2	91179	14.9176	8.90482	9.14296	13.8293	11.4128	9.45623	9.84691	9.45234	10.4148	7.91647	11.19	9.80144	11.7222	12.7075	13.2089	9.6205	8.55882	10.6354	9.55992	8.75759	8.84726	8.07732	10.5374	11.0334
SCARNA10	SCARNA10	692148	0.731608	0.359468	0.724428	0.63928	0.496294	0.712167	0	1.28327	0.639434	1.31478	0.90425	1.11593	0.593278	0	0	0.287858	0.317168	0.692137	0	0.8216	1.7409	0	1.06712	1.12508
