SYMBOL	ENTREZID	HT.1	HT.4	HT.5	HT.6	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
BTF3L4	91408	46.2719	48.343	62.2834	48.8238	NA	NA	NA	NA
BTF3L4P1	100505945	4.00437	1.0469	2.68163	3.58753	NA	NA	NA	NA
BTF3L4P2	653189	2.78634	4.08942	2.87962	4.42574	NA	NA	NA	NA
BTF3P10	345829	21.2135	25.331	19.8688	17.8336	NA	NA	NA	NA
BTF3P12	652963	0.132986	0.173686	1.12502	0.56469	NA	NA	NA	NA
BTF3P13	132556	0.246638	0.16106	0.260811	0.174446	NA	NA	NA	NA
BTF3P2	283631	0.872292	1.13925	1.71306	1.41021	NA	NA	NA	NA
BTF3P5	652959	9.51305	7.69966	9.0679	5.87562	NA	NA	NA	NA
BTF3P6	100499261	0.239665	0.156434	0.253072	0.67716	NA	NA	NA	NA
BTF3P7	652960	0.372536	1.13528	0.919202	1.05397	NA	NA	NA	NA
BTF3P9	503543	3.24676	5.30051	3.86249	3.44462	NA	NA	NA	NA
BTG1	694	14.6996	22.2737	24.5795	16.2601	NA	NA	NA	NA
BTG2	7832	41.9096	32.4648	27.4234	25.0742	NA	NA	NA	NA
BTG3	10950	27.1457	24.9348	34.7393	24.4732	cerebral-cortex	glial-cells	Low	Approved
BTN2A1	11120	11.3777	10.5674	15.3551	11.3086	NA	NA	NA	NA
BTN2A2	10385	13.747	15.5723	11.9204	15.1075	NA	NA	NA	NA
BTN2A3P	54718	2.5584	2.59132	3.33027	3.34568	NA	NA	NA	NA
BTN3A1	11119	8.38692	5.97825	7.29696	7.68171	NA	NA	NA	NA
BTN3A2	11118	20.6979	7.03114	11.1108	12.0246	NA	NA	NA	NA
BTN3A3	10384	10.1208	5.13482	7.2118	9.82855	NA	NA	NA	NA
BTRC	8945	15.9844	12.0138	11.8228	15.5687	cerebral-cortex	glial-cells	Medium	Approved
BUB1	699	7.94744	13.1085	22.9253	15.5389	NA	NA	NA	NA
BUB1B	701	21.0888	57.4943	95.0824	33.1616	NA	NA	NA	NA
BUB3	9184	68.8942	72.5818	81.896	52.048	cerebral-cortex	glial-cells	Medium	Supported
BUD13	84811	16.3403	14.554	20.263	13.4516	cerebral-cortex	glial-cells	Medium	Enhanced
BUD31	8896	226.981	187.006	178.926	193.871	cerebral-cortex	glial-cells	Low	Approved
BVES	11149	0.768414	0.730211	2.65281	0.465317	NA	NA	NA	NA
BYSL	705	5.67144	4.00888	7.45127	3.20368	NA	NA	NA	NA
BZW1	9689	316.659	383.288	323.98	357.413	NA	NA	NA	NA
BZW1P1	391592	0.720127	0.850944	0.616459	0.824649	NA	NA	NA	NA
BZW1P2	151579	3.42912	3.52282	2.79173	3.95175	NA	NA	NA	NA
BZW2	28969	5.45988	9.53239	12.2086	9.66241	NA	NA	NA	NA
C10orf113	387638	0	0.616563	0.0997799	0.488222	NA	NA	NA	NA
C10orf25	220979	2.46036	1.05654	1.43101	1.12449	NA	NA	NA	NA
C10orf55	414236	0.286166	0.568686	0.368455	0.266613	NA	NA	NA	NA
C10orf67	256815	0.103789	0.155831	0.346837	0.375019	NA	NA	NA	NA
C10orf88	80007	5.95542	11.379	6.83241	6.22226	NA	NA	NA	NA
C10orf90	118611	0.0510604	1.60181	0.207276	0.544491	NA	NA	NA	NA
C10orf95	79946	0.114404	0.298385	0.304487	0.272353	NA	NA	NA	NA
C11orf24	53838	9.36064	8.57612	10.5443	8.8019	NA	NA	NA	NA
C11orf42	160298	0.189317	0.197805	0.400392	0.321368	NA	NA	NA	NA
C11orf45	219833	0.0312243	0.437972	0.700716	0.444032	cerebral-cortex	glial-cells	High	Approved
C11orf49	79096	64.7521	50.7429	48.7267	51.6291	NA	NA	NA	NA
C11orf54	28970	25.0441	19.9368	24.7901	27.1033	NA	NA	NA	NA
C11orf58	10944	183.332	254.961	215.695	224.238	NA	NA	NA	NA
C11orf65	160140	1.88208	0.774848	1.27991	1.59632	NA	NA	NA	NA
C11orf68	83638	9.95962	8.76264	7.75699	7.12044	NA	NA	NA	NA
C11orf71	54494	4.01419	4.42245	3.40924	1.03226	NA	NA	NA	NA
C11orf74	119710	32.0537	27.5218	14.8092	28.9379	NA	NA	NA	NA
C11orf80	79703	34.3482	24.166	26.1791	39.308	NA	NA	NA	NA
C11orf87	399947	4.28163	4.65864	2.90354	0.815844	cerebral-cortex	glial-cells	Medium	Approved
C11orf88	399949	0.423379	2.18353	0.663697	0.238334	NA	NA	NA	NA
C11orf91	100131378	0.1007	0.152649	0.398458	0	NA	NA	NA	NA
C11orf94	143678	0.423477	0.82962	0.671717	2.99523	NA	NA	NA	NA
C11orf95	65998	20.2066	25.7603	31.3381	18.3267	NA	NA	NA	NA
C11orf96	387763	0.860375	4.92331	7.27795	1.7477	NA	NA	NA	NA
C12orf10	60314	39.4338	29.1918	26.4921	28.1012	cerebral-cortex	glial-cells	Low	Approved
C12orf29	91298	23.8868	20.614	22.6955	23.1915	NA	NA	NA	NA
C12orf4	57102	17.1335	16.3846	14.5026	18.2503	NA	NA	NA	NA
C12orf42	374470	0.0188604	0.131476	0.0331918	0	NA	NA	NA	NA
C12orf43	64897	12.7318	11.8231	10.8688	12.5333	NA	NA	NA	NA
C12orf45	121053	18.4964	18.6258	17.5124	16.7966	NA	NA	NA	NA
C12orf49	79794	29.3281	17.4849	23.8771	37.2181	NA	NA	NA	NA
