SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_R.Veh.R1	BD_NR.Veh.R2	BD_R.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
CDH12	1010	0.181236	0.390896	0.439084	0.180917	NA	NA	NA	NA
CDH13	1012	12.8271	0.837404	20.3369	0.500811	NA	NA	NA	NA
CDH15	1013	198.351	0	36.6494	0.206398	NA	NA	NA	NA
CDH18	1016	0.609783	0.461993	0.206189	0.146565	NA	NA	NA	NA
CDH2	1000	39.5689	184.775	77.7524	104.806	NA	NA	NA	NA
CDH20	28316	0.584607	3.15546	0.818957	2.08412	NA	NA	NA	NA
CDH23	64072	0.466568	1.15301	0.2935	0.607768	cerebral-cortex	glial-cells	Low	Approved
CDH24	64403	8.6641	13.1108	11.8307	15.9175	NA	NA	NA	NA
CDH26	60437	0.315774	0.282312	0.238148	0.226681	NA	NA	NA	NA
CDH3	1001	1.3329	3.90035	1.46749	0.886837	NA	NA	NA	NA
CDH4	1002	2.08551	16.7891	3.86189	11.6555	NA	NA	NA	NA
CDH5	1003	0.169135	0.336876	0.292614	0.416565	cerebral-cortex	glial-cells	Low	Approved
CDH6	1004	4.09106	48.2229	6.35647	31.4323	cerebral-cortex	glial-cells	Low	Enhanced
CDH7	1005	5.45888	19.1458	8.94638	7.53333	NA	NA	NA	NA
CDH8	1006	1.00737	5.07372	2.78095	7.2223	cerebral-cortex	glial-cells	Low	Approved
CDHR1	92211	0.548583	2.77534	0.721242	1.58071	NA	NA	NA	NA
