SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_NR.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
ELF4	2000	1.28754	3.20356	NA	NA	NA	NA
ELFN1	392617	10.6595	4.10094	NA	NA	NA	NA
ELFN2	114794	0.56956	0.380745	NA	NA	NA	NA
ELK1	2002	15.0396	15.6072	NA	NA	NA	NA
ELK3	2004	19.5894	43.4858	NA	NA	NA	NA
ELK4	2005	6.26455	7.00339	NA	NA	NA	NA
ELL	8178	9.73785	6.35874	NA	NA	NA	NA
ELL2	22936	1.34281	2.02284	NA	NA	NA	NA
ELL3	80237	1.757	0.798109	NA	NA	NA	NA
ELMO1	9844	14.4249	6.67788	NA	NA	NA	NA
ELMO2	63916	20.0159	24.2102	NA	NA	NA	NA
ELMO3	79767	1.64278	1.07441	cerebral-cortex	glial-cells	Low	Approved
ELMOD1	55531	0.827288	1.97494	NA	NA	NA	NA
ELMOD2	255520	12.3377	16.2177	NA	NA	NA	NA
ELMOD3	84173	9.91176	11.7073	NA	NA	NA	NA
ELMSAN1	91748	16.4071	11.4059	cerebral-cortex	glial-cells	Medium	Approved
ELN	2006	10.137	3.27516	NA	NA	NA	NA
ELOF1	84337	41.1124	41.1309	NA	NA	NA	NA
ELOVL1	64834	26.6342	35.8955	NA	NA	NA	NA
ELOVL2	54898	2.61684	6.41046	NA	NA	NA	NA
ELOVL2-AS1	100506409	0.207936	0.142191	NA	NA	NA	NA
ELOVL3	83401	0.979932	1.86256	NA	NA	NA	NA
ELOVL4	6785	2.54055	5.72362	NA	NA	NA	NA
ELOVL5	60481	50.51	75.6004	NA	NA	NA	NA
ELOVL6	79071	34.8846	39.4464	NA	NA	NA	NA
ELOVL7	79993	0.0608541	0.166279	NA	NA	NA	NA
ELP2	55250	36.3554	32.0811	cerebral-cortex	glial-cells	Low	Approved
ELP3	55140	15.6407	17.5219	NA	NA	NA	NA
ELP4	26610	10.0492	7.71931	NA	NA	NA	NA
ELP5	23587	61.5937	44.6317	NA	NA	NA	NA
ELP6	54859	34.5957	40.0599	NA	NA	NA	NA
EMB	133418	0.932014	3.64126	NA	NA	NA	NA
EMC1	23065	20.2453	22.0957	cerebral-cortex	glial-cells	Medium	Approved
EMC10	284361	71.5291	57.2213	NA	NA	NA	NA
EMC2	9694	36.7346	21.498	cerebral-cortex	glial-cells	Low	Approved
EMC3	55831	25.8274	37.7057	cerebral-cortex	glial-cells	Medium	Approved
EMC3-AS1	442075	3.23901	3.30087	NA	NA	NA	NA
EMC4	51234	98.4015	83.4001	NA	NA	NA	NA
EMC6	83460	55.2012	32.6255	NA	NA	NA	NA
EMC7	56851	50.434	40.7667	NA	NA	NA	NA
EMC8	10328	25.6867	23.8503	NA	NA	NA	NA
EMC9	51016	36.4727	19.6889	NA	NA	NA	NA
EME1	146956	13.3284	19.9305	cerebral-cortex	glial-cells	High	Supported
EME2	197342	5.43617	4.52671	NA	NA	NA	NA
EMG1	10436	1.29635	1.46056	NA	NA	NA	NA
EMID1	129080	3.27603	1.68154	NA	NA	NA	NA
EMILIN1	11117	104.584	94.5316	NA	NA	NA	NA
EMILIN2	84034	4.9588	4.63974	NA	NA	NA	NA
EMILIN3	90187	12.9955	9.55363	NA	NA	NA	NA
EML1	2009	9.24795	15.9737	NA	NA	NA	NA
EML2	24139	7.0122	10.3013	cerebral-cortex	glial-cells	Low	Approved
EML3	256364	13.1799	17.0734	NA	NA	NA	NA
EML4	27436	32.1234	41.6226	cerebral-cortex	glial-cells	Low	Enhanced
EML5	161436	2.88358	2.26182	NA	NA	NA	NA
EML6	400954	0.543747	0.418859	NA	NA	NA	NA
EMP1	2012	5.37888	47.7529	NA	NA	NA	NA
EMP2	2013	22.471	15.5746	cerebral-cortex	glial-cells	Medium	Approved
EMP3	2014	114.344	107.254	NA	NA	NA	NA
EMX2	2018	11.86	3.81411	NA	NA	NA	NA
EMX2OS	196047	3.57976	2.37035	NA	NA	NA	NA
EN1	2019	1.0728	3.6121	NA	NA	NA	NA
EN2	2020	2.91735	4.94548	NA	NA	NA	NA
ENAH	55740	55.7488	64.6318	cerebral-cortex	glial-cells	Medium	Enhanced
ENC1	8507	25.9944	44.3875	NA	NA	NA	NA
ENDOD1	23052	14.3423	13.4965	cerebral-cortex	glial-cells	High	Enhanced
ENDOG	2021	24.7083	12.9559	cerebral-cortex	glial-cells	Medium	Approved
ENDOV	284131	24.4237	16.9893	NA	NA	NA	NA
ENG	2022	11.2351	33.7249	NA	NA	NA	NA
ENGASE	64772	12.9673	15.3801	NA	NA	NA	NA
ENHO	375704	2.40467	3.52736	NA	NA	NA	NA
ENKD1	84080	8.10783	13.4722	NA	NA	NA	NA
ENKUR	219670	0.292459	0.433556	NA	NA	NA	NA
ENO1	2023	504.681	749.555	cerebral-cortex	glial-cells	Medium	Supported
ENO1-AS1	100505975	0.853367	0.164842	NA	NA	NA	NA
ENO1P1	2025	1.50204	0.689532	NA	NA	NA	NA
ENO1P2	100419098	0.140147	0	NA	NA	NA	NA
ENO1P4	100885799	0	1.82534	NA	NA	NA	NA
ENO3	2027	408.795	76.8415	NA	NA	NA	NA
ENO4	387712	0.73662	0.714004	NA	NA	NA	NA
ENOPH1	58478	28.7495	27.4134	NA	NA	NA	NA
ENOSF1	55556	14.6081	14.792	NA	NA	NA	NA
ENOX1	55068	15.667	10.8482	NA	NA	NA	NA
ENOX2	10495	10.7675	7.52732	NA	NA	NA	NA
ENPEP	2028	0.354457	0.151258	NA	NA	NA	NA
ENPP1	5167	2.33784	2.52564	NA	NA	NA	NA
ENPP2	5168	11.9982	12.6985	NA	NA	NA	NA
ENPP3	5169	0.109197	0.260803	NA	NA	NA	NA
ENPP4	22875	0.483997	0.842467	cerebral-cortex	glial-cells	Medium	Approved
ENPP5	59084	0.0939221	0.0183414	NA	NA	NA	NA
ENPP6	133121	5.25206	0.403789	cerebral-cortex	glial-cells	Low	Approved
ENPP7P11	100421806	1.99652	0.786726	NA	NA	NA	NA
ENPP7P12	106480230	0.494681	0.0974541	NA	NA	NA	NA
ENPP7P2	100421813	0.0729297	0.11442	NA	NA	NA	NA
ENPP7P4	100421816	0.122771	0.048105	NA	NA	NA	NA
ENSA	2029	117.421	96.7089	NA	NA	NA	NA
ENSAP2	319114	12.859	14.512	NA	NA	NA	NA
ENTPD1	953	3.28186	4.56438	NA	NA	NA	NA
ENTPD1-AS1	728558	1.33238	3.44354	NA	NA	NA	NA
ENTPD2	954	0.0891263	0.174354	cerebral-cortex	glial-cells	Low	Approved
ENTPD3-AS1	285266	4.15526	1.9214	NA	NA	NA	NA
ENTPD4	9583	13.3112	20.2135	NA	NA	NA	NA
ENTPD5	957	2.87686	5.68054	cerebral-cortex	glial-cells	Low	Enhanced
ENTPD6	955	28.3589	29.792	cerebral-cortex	glial-cells	Low	Approved
ENTPD7	57089	2.15729	7.58401	NA	NA	NA	NA
ENTPD8	377841	2.94443	0.337056	NA	NA	NA	NA
ENY2	56943	165.031	132.366	cerebral-cortex	glial-cells	Medium	Approved
EOGT	285203	3.82216	5.88477	cerebral-cortex	glial-cells	Low	Approved
EP300	2033	9.6252	15.2515	cerebral-cortex	glial-cells	Low	Supported
EP400	57634	8.76368	12.3379	cerebral-cortex	glial-cells	Medium	Supported
EPAS1	2034	1.65846	2.14632	NA	NA	NA	NA
EPB41	2035	11.2125	14.514	NA	NA	NA	NA
EPB41L1	2036	9.07724	12.9379	cerebral-cortex	glial-cells	Low	Enhanced
EPB41L2	2037	67.9348	40.1477	cerebral-cortex	glial-cells	Low	Supported
EPB41L3	23136	42.6986	24.8233	cerebral-cortex	glial-cells	Low	Enhanced
EPB41L4A	64097	0.665912	0.759469	NA	NA	NA	NA
EPB41L4A-AS1	114915	33.9094	17.0323	NA	NA	NA	NA
EPB41L4B	54566	0.860281	1.15997	NA	NA	NA	NA
EPB41L5	57669	10.8295	11.902	NA	NA	NA	NA
EPB42	2038	0.126885	0.0594062	NA	NA	NA	NA
EPC1	80314	17.2699	14.917	NA	NA	NA	NA
EPC2	26122	13.6382	14.9727	NA	NA	NA	NA
EPCAM	4072	0.107947	0.122768	NA	NA	NA	NA
EPDR1	54749	3.2167	5.22019	cerebral-cortex	glial-cells	High	Approved
EPG5	57724	6.04762	6.38741	NA	NA	NA	NA
EPHA1	2041	1.3039	2.50043	NA	NA	NA	NA
EPHA1-AS1	285965	0.390395	0.0447391	NA	NA	NA	NA
EPHA2	1969	5.32335	17.8376	NA	NA	NA	NA
EPHA3	2042	36.6321	30.4269	NA	NA	NA	NA
EPHA4	2043	32.0676	33.183	cerebral-cortex	glial-cells	Low	Enhanced
EPHA5	2044	0.357591	0.245532	NA	NA	NA	NA
