SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_NR.Veh.R2	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
TMEM31	203562	0.813446	0.55977	NA	NA	NA	NA
TMEM33	55161	9.52249	16.7323	NA	NA	NA	NA
TMEM37	140738	1.58399	1.46944	NA	NA	NA	NA
TMEM38A	79041	41.3244	9.59428	NA	NA	NA	NA
TMEM38B	55151	17.0523	11.828	NA	NA	NA	NA
TMEM39A	55254	14.9445	21.8224	cerebral-cortex	glial-cells	Medium	Approved
TMEM39B	55116	18.0095	19.6615	cerebral-cortex	glial-cells	Medium	Approved
TMEM41A	90407	11.7097	13.2619	NA	NA	NA	NA
TMEM41B	440026	18.3009	20.2416	NA	NA	NA	NA
TMEM42	131616	8.73429	5.66219	NA	NA	NA	NA
TMEM43	79188	24.9587	33.9859	NA	NA	NA	NA
TMEM44	93109	16.7305	23.4552	NA	NA	NA	NA
TMEM44-AS1	100507297	5.03364	2.19174	NA	NA	NA	NA
TMEM45A	55076	9.32082	13.1177	NA	NA	NA	NA
TMEM47	83604	20.2827	26.3817	cerebral-cortex	glial-cells	High	Approved
TMEM50A	23585	51.514	55.0051	NA	NA	NA	NA
TMEM50B	757	0.180071	0.219103	cerebral-cortex	glial-cells	Low	Approved
TMEM51	55092	10.8416	11.4874	cerebral-cortex	glial-cells	Low	Approved
TMEM51-AS1	200197	0.31776	0.317758	NA	NA	NA	NA
TMEM52	339456	9.02107	2.99231	NA	NA	NA	NA
TMEM53	79639	6.93998	6.24447	cerebral-cortex	glial-cells	Low	Approved
TMEM54	113452	4.71452	4.41613	NA	NA	NA	NA
TMEM59	9528	72.0399	52.855	NA	NA	NA	NA
TMEM59L	25789	6.0518	4.65088	cerebral-cortex	glial-cells	Low	Approved
TMEM60	85025	23.4254	18.3132	NA	NA	NA	NA
TMEM62	80021	5.44006	4.20214	cerebral-cortex	glial-cells	Low	Approved
TMEM63A	9725	11.8313	10.3334	NA	NA	NA	NA
TMEM63B	55362	10.3982	16.4343	NA	NA	NA	NA
TMEM63C	57156	0.0861182	0.316224	NA	NA	NA	NA
TMEM64	169200	7.33012	6.02246	cerebral-cortex	glial-cells	Medium	Enhanced
TMEM65	157378	13.7843	15.7651	NA	NA	NA	NA
TMEM67	91147	8.0682	9.32042	NA	NA	NA	NA
TMEM68	137695	10.61	11.931	NA	NA	NA	NA
TMEM69	51249	25.1399	21.4721	NA	NA	NA	NA
TMEM70	54968	29.6792	18.8696	NA	NA	NA	NA
TMEM71	137835	0.750534	1.30597	NA	NA	NA	NA
TMEM74	157753	0.24909	0.500806	NA	NA	NA	NA
TMEM74B	55321	1.13969	2.61534	NA	NA	NA	NA
TMEM79	84283	2.9793	4.30337	NA	NA	NA	NA
TMEM80	283232	30.4527	18.5343	NA	NA	NA	NA
TMEM81	388730	3.81844	3.16832	NA	NA	NA	NA
TMEM86A	144110	0.779088	0.748385	NA	NA	NA	NA
TMEM86B	255043	2.33343	2.3968	NA	NA	NA	NA
TMEM87A	25963	14.8635	16.1463	cerebral-cortex	glial-cells	Medium	Enhanced
TMEM87B	84910	4.11266	9.35074	NA	NA	NA	NA
TMEM88	92162	22.888	5.89576	cerebral-cortex	glial-cells	Low	Approved
TMEM88B	643965	0	0.141834	NA	NA	NA	NA
TMEM8B	51754	7.58812	6.6465	NA	NA	NA	NA
TMEM9	252839	74.3578	58.9467	NA	NA	NA	NA
TMEM91	641649	10.8157	5.63654	NA	NA	NA	NA
TMEM92	162461	0.171791	0.357083	NA	NA	NA	NA
TMEM98	26022	52.1408	61.7865	NA	NA	NA	NA
TMEM99	147184	14.2484	12.8938	NA	NA	NA	NA
TMEM9B	56674	19.2951	17.4482	NA	NA	NA	NA
TMEM9B-AS1	493900	0.644229	0.366046	NA	NA	NA	NA
TMF1	7110	7.62166	11.2393	cerebral-cortex	glial-cells	Medium	Approved
TMIGD2	126259	1.54132	1.03906	NA	NA	NA	NA
TMLHE	55217	0.0209308	0.0407562	NA	NA	NA	NA
TMOD1	7111	12.2588	2.73305	NA	NA	NA	NA
TMOD2	29767	1.07355	1.74282	cerebral-cortex	glial-cells	Low	Enhanced
TMOD3	29766	11.8207	23.0948	cerebral-cortex	glial-cells	Medium	Approved
TMOD4	29765	0.353678	0.713048	NA	NA	NA	NA
TMPO	7112	140.494	157.497	cerebral-cortex	glial-cells	Medium	Enhanced
TMPO-AS1	100128191	3.95779	2.62472	NA	NA	NA	NA
TMPPE	643853	0.176016	0.291887	cerebral-cortex	glial-cells	Low	Approved
TMPRSS5	80975	0.457442	0.699971	NA	NA	NA	NA
TMPRSS6	164656	0	0.0883665	NA	NA	NA	NA
TMPRSS9	360200	0.447084	0.323814	NA	NA	NA	NA
TMSB10	9168	4242.86	4024.4	NA	NA	NA	NA
TMSB15B	286527	0.185165	0.529536	NA	NA	NA	NA
TMSB4X	7114	3987.25	3907.61	cerebral-cortex	glial-cells	Low	Approved
TMSB4XP1	7115	275.287	36.764	NA	NA	NA	NA
TMSB4XP2	7116	99.6846	51.6571	NA	NA	NA	NA
TMSB4XP4	7118	19.2313	3.91543	NA	NA	NA	NA
TMSB4XP6	7120	2047.59	1433.81	NA	NA	NA	NA
TMSB4XP8	7117	220.228	194.726	NA	NA	NA	NA
TMSB4Y	9087	1.00731	1.60461	NA	NA	NA	NA
TMTC1	83857	14.5843	5.21663	cerebral-cortex	glial-cells	Medium	Approved
TMTC2	160335	4.81054	6.28821	NA	NA	NA	NA
TMTC3	160418	6.79306	11.5642	NA	NA	NA	NA
TMTC4	84899	21.2502	24.8094	NA	NA	NA	NA
TMUB1	83590	25.1271	19.2013	cerebral-cortex	glial-cells	Low	Approved
TMUB2	79089	25.3426	21.3912	cerebral-cortex	glial-cells	Medium	Approved
TMX1	81542	24.9097	31.7279	cerebral-cortex	glial-cells	Low	Approved
TMX2	51075	50.7716	56.2551	NA	NA	NA	NA
TMX2-CTNND1	100528016	0.220479	0.360876	NA	NA	NA	NA
TMX3	54495	24.2123	36.7866	NA	NA	NA	NA
TMX4	56255	7.22786	9.07588	cerebral-cortex	glial-cells	High	Enhanced
TNC	3371	70.651	377.662	NA	NA	NA	NA
TNFAIP2	7127	17.2634	29.9096	NA	NA	NA	NA
TNFAIP3	7128	1.65868	2.93873	NA	NA	NA	NA
TNFAIP6	7130	6.17457	21.9809	NA	NA	NA	NA
TNFAIP8	25816	6.53903	9.48431	NA	NA	NA	NA
TNFAIP8L1	126282	12.637	10.5747	NA	NA	NA	NA
TNFAIP8L3	388121	0.96006	1.10426	NA	NA	NA	NA
TNFRSF10A	8797	0.219065	0.63067	NA	NA	NA	NA
TNFRSF10B	8795	33.8355	82.6987	cerebral-cortex	glial-cells	Low	Approved
TNFRSF10C	8794	0.453246	0.564161	NA	NA	NA	NA
TNFRSF10D	8793	5.12329	29.6578	NA	NA	NA	NA
TNFRSF11B	4982	0.125068	3.37019	NA	NA	NA	NA
TNFRSF12A	51330	33.9596	11.918	cerebral-cortex	glial-cells	Low	Approved
TNFRSF13C	115650	1.04436	1.22907	NA	NA	NA	NA
TNFRSF14	8764	0.58237	0.702335	NA	NA	NA	NA
TNFRSF17	608	0.11425	0.187766	NA	NA	NA	NA
TNFRSF19	55504	8.78621	25.3645	NA	NA	NA	NA
TNFRSF1A	7132	35.2411	62.315	cerebral-cortex	glial-cells	Medium	Approved
TNFRSF1B	7133	2.47866	7.93345	NA	NA	NA	NA
TNFRSF21	27242	18.867	32.9797	cerebral-cortex	glial-cells	Medium	Approved
TNFRSF25	8718	14.9738	11.1493	NA	NA	NA	NA
TNFSF10	8743	0.164318	0.0489635	NA	NA	NA	NA
TNFSF12	8742	2.2196	3.36573	NA	NA	NA	NA
TNFSF13	8741	1.29992	0.907129	NA	NA	NA	NA
TNFSF13B	10673	9.9997	0.902535	NA	NA	NA	NA
TNFSF4	7292	4.35825	1.27725	NA	NA	NA	NA
TNFSF9	8744	1.01551	4.50018	NA	NA	NA	NA
TNIK	23043	15.6072	13.7757	cerebral-cortex	glial-cells	Medium	Approved
TNIP1	10318	16.1591	20.3143	NA	NA	NA	NA
TNIP2	79155	14.1626	17.618	cerebral-cortex	glial-cells	Low	Supported
TNK1	8711	0.557188	0.406391	NA	NA	NA	NA
TNK2	10188	33.9297	20.913	NA	NA	NA	NA
TNKS	8658	10.3857	15.8864	cerebral-cortex	glial-cells	Medium	Approved
TNKS1BP1	85456	28.7038	37.1991	NA	NA	NA	NA
TNKS2	80351	16.104	25.9212	NA	NA	NA	NA
TNKS2-AS1	100507633	0.802291	0.512691	NA	NA	NA	NA
TNMD	64102	67.4244	91.9999	NA	NA	NA	NA
TNN	63923	0.367745	1.73051	NA	NA	NA	NA
TNNC1	7134	969.396	161.008	NA	NA	NA	NA
TNNC2	7125	811.345	124.165	NA	NA	NA	NA
TNNI3	7137	2.25203	1.92925	NA	NA	NA	NA
TNNI3K	51086	0.946579	0.0849991	NA	NA	NA	NA
TNNT1	7138	678.036	188.951	NA	NA	NA	NA
TNPO1	3842	42.1364	74.7675	cerebral-cortex	glial-cells	High	Approved
TNPO1P1	100418919	0.0580447	0.227366	NA	NA	NA	NA
TNPO2	30000	21.6503	27.6808	NA	NA	NA	NA
TNPO3	23534	12.7163	20.7222	cerebral-cortex	glial-cells	Low	Approved
TNRC18	84629	24.4322	29.4518	NA	NA	NA	NA
TNRC6A	27327	23.2977	33.2891	cerebral-cortex	glial-cells	Low	Approved
TNRC6B	23112	5.58692	6.08437	cerebral-cortex	glial-cells	Medium	Approved
TNRC6C	57690	3.46311	4.41576	NA	NA	NA	NA
TNRC6C-AS1	100131096	1.65923	0.701632	NA	NA	NA	NA
TNS1	7145	7.19066	16.4212	cerebral-cortex	glial-cells	Low	Approved
TNS3	64759	8.82351	15.7469	NA	NA	NA	NA
TOB1	10140	24.6053	22.0751	cerebral-cortex	glial-cells	Low	Approved
TOB1-AS1	400604	2.18326	1.11446	NA	NA	NA	NA
TOB2	10766	11.5001	15.234	cerebral-cortex	glial-cells	Low	Approved
TOB2P1	222699	0.52901	0.214899	NA	NA	NA	NA
TOE1	114034	9.34994	11.041	cerebral-cortex	glial-cells	High	Supported
TOLLIP	54472	16.3371	13.098	cerebral-cortex	glial-cells	Medium	Enhanced
TOLLIP-AS1	255512	1.39299	0.517631	NA	NA	NA	NA
TOM1	10043	19.3171	16.6622	cerebral-cortex	glial-cells	Low	Approved
TOM1L1	10040	7.9947	7.0626	NA	NA	NA	NA
TOM1L2	146691	6.75104	9.88939	cerebral-cortex	glial-cells	Low	Enhanced
TOMM20	9804	95.7769	76.7694	NA	NA	NA	NA
TOMM22	56993	66.5777	45.082	cerebral-cortex	glial-cells	High	Supported
TOMM34	10953	15.9924	17.2244	NA	NA	NA	NA
TOMM40	10452	51.6294	42.4968	cerebral-cortex	glial-cells	Low	Supported
TOMM40L	84134	7.69786	10.253	NA	NA	NA	NA
TOMM5	401505	178.13	131.662	NA	NA	NA	NA
TOMM6	100188893	289.53	188.397	NA	NA	NA	NA
TOMM7	54543	191.452	88.9553	NA	NA	NA	NA
TONSL	4796	4.8924	6.53254	NA	NA	NA	NA
TOP1	7150	62.9653	63.0472	cerebral-cortex	glial-cells	High	Supported
TOP1MT	116447	11.603	9.78449	cerebral-cortex	glial-cells	Medium	Approved
TOP2A	7153	156.564	112.934	NA	NA	NA	NA
TOP2B	7155	111.934	78.6929	cerebral-cortex	glial-cells	High	Supported
TOP3A	7156	24.7231	28.6008	NA	NA	NA	NA
TOP3B	8940	16.1033	22.3297	NA	NA	NA	NA
TOP3BP1	23751	0.370502	0.652412	NA	NA	NA	NA
TOPBP1	11073	18.3004	26.1673	cerebral-cortex	glial-cells	High	Approved
TOPORS	10210	12.4	12.2487	cerebral-cortex	glial-cells	Medium	Supported
TOR1A	1861	22.1463	29.3045	cerebral-cortex	glial-cells	Low	Approved
TOR1AIP1	26092	15.4596	17.3207	cerebral-cortex	glial-cells	Low	Enhanced
TOR1AIP2	163590	12.4435	17.1673	NA	NA	NA	NA
TOR1B	27348	9.22905	15.0366	cerebral-cortex	glial-cells	Low	Approved
TOR2A	27433	10.0782	12.4057	NA	NA	NA	NA
TOR3A	64222	16.5019	17.1202	NA	NA	NA	NA
TOR4A	54863	1.03485	0.753023	NA	NA	NA	NA
TOX	9760	3.23027	2.0496	cerebral-cortex	glial-cells	Low	Enhanced
TOX2	84969	0.106781	0.517263	NA	NA	NA	NA
TOX3	27324	3.78943	3.60639	cerebral-cortex	glial-cells	Low	Enhanced
TOX4	9878	23.6643	27.7186	cerebral-cortex	glial-cells	Medium	Approved
TP53	7157	27.9615	38.7295	NA	NA	NA	NA
TP53AIP1	63970	0.0673677	0.0663399	NA	NA	NA	NA
TP53BP1	7158	32.2909	36.2528	cerebral-cortex	glial-cells	High	Supported
TP53BP2	7159	23.508	24.8833	cerebral-cortex	glial-cells	Medium	Supported
TP53I11	9537	37.5048	67.1451	NA	NA	NA	NA
TP53I13	90313	25.9368	20.8633	NA	NA	NA	NA
TP53I3	9540	60.9211	50.6032	cerebral-cortex	glial-cells	Low	Enhanced
TP53INP1	94241	13.437	18.8238	NA	NA	NA	NA
TP53INP2	58476	4.10613	6.13815	NA	NA	NA	NA
TP53RK	112858	10.3829	10.2284	cerebral-cortex	glial-cells	Medium	Approved
TP53TG1	11257	12.679	14.8746	NA	NA	NA	NA
TP53TG5	27296	0	0.345413	NA	NA	NA	NA
TP73	7161	1.44459	0.86301	NA	NA	NA	NA
TP73-AS1	57212	16.0359	15.5747	NA	NA	NA	NA
TPBG	7162	12.5643	18.1753	NA	NA	NA	NA
TPBGL	100507050	0.042487	0.116122	NA	NA	NA	NA
TPCN1	53373	4.7016	14.2261	NA	NA	NA	NA
TPCN2	219931	2.76608	3.56584	NA	NA	NA	NA
TPD52	7163	4.24342	3.19073	cerebral-cortex	glial-cells	Medium	Enhanced
TPD52L1	7164	4.82526	6.40628	cerebral-cortex	glial-cells	Low	Enhanced
TPD52L2	7165	52.7758	54.9697	NA	NA	NA	NA
TPGS1	91978	18.3214	12.4779	NA	NA	NA	NA
TPGS2	25941	54.3431	65.6577	NA	NA	NA	NA
TPH1	7166	0.366643	0.681463	NA	NA	NA	NA
TPI1P1	729708	39.5839	23.897	NA	NA	NA	NA
TPI1P2	286016	0.217295	0.918805	NA	NA	NA	NA
TPK1	27010	1.21337	1.12904	cerebral-cortex	glial-cells	Low	Approved
TPM1	7168	764.302	629.644	NA	NA	NA	NA
TPM2	7169	2320.12	463.397	cerebral-cortex	glial-cells	Medium	Approved
TPM3	7170	142.425	238.836	cerebral-cortex	glial-cells	Medium	Approved
TPM3P8	646839	0	0.189776	NA	NA	NA	NA
TPM3P9	147804	1.41805	2.19929	NA	NA	NA	NA
TPM4	7171	254.815	478.457	cerebral-cortex	glial-cells	Low	Approved
TPMT	7172	5.12297	5.9632	NA	NA	NA	NA
TPP1	1200	10.1534	13.8913	cerebral-cortex	glial-cells	Medium	Enhanced
TPP2	7174	28.8753	29.4069	cerebral-cortex	glial-cells	Low	Approved
TPPP	11076	0.281011	0.596353	cerebral-cortex	glial-cells	Medium	Enhanced
TPPP3	51673	37.4631	12.0724	cerebral-cortex	glial-cells	Low	Enhanced
TPR	7175	35.4462	37.8613	cerebral-cortex	glial-cells	High	Enhanced
TPRA1	131601	14.4119	13.6169	NA	NA	NA	NA
TPRG1	285386	0.356845	0.407813	NA	NA	NA	NA
TPRG1L	127262	10.8654	10.9682	NA	NA	NA	NA
TPRKB	51002	76.2289	48.8944	cerebral-cortex	glial-cells	Medium	Approved
TPRN	286262	7.86313	7.25938	NA	NA	NA	NA
TPSG1	25823	0.599257	0.422597	NA	NA	NA	NA
TPST1	8460	16.7966	14.5598	NA	NA	NA	NA
TPST2	8459	3.41871	6.12543	cerebral-cortex	glial-cells	Low	Enhanced
TPT1	7178	4007.41	2121.92	NA	NA	NA	NA
TPT1-AS1	100190939	20.8981	16.3123	NA	NA	NA	NA
TPT1P10	101928715	0.353495	0.280007	NA	NA	NA	NA
TPT1P4	285741	2.80046	0.651628	NA	NA	NA	NA
TPT1P9	389787	58.8412	11.447	NA	NA	NA	NA
TPTE2P1	646405	0.66087	0.874326	NA	NA	NA	NA
TPTE2P5	100616668	1.37727	3.07949	NA	NA	NA	NA
TPX2	22974	64.0469	69.7409	cerebral-cortex	glial-cells	Low	Enhanced
TRA2A	29896	71.6751	65.7777	NA	NA	NA	NA
TRA2B	6434	180.296	133.248	cerebral-cortex	glial-cells	High	Supported
TRABD	80305	17.4941	16.5794	cerebral-cortex	glial-cells	High	Approved
TRABD2A	129293	0.123158	0.877674	NA	NA	NA	NA
TRABD2B	388630	0.760722	1.09265	NA	NA	NA	NA
TRAC	28755	0.560583	3.24235	NA	NA	NA	NA
TRADD	8717	2.70973	2.12315	NA	NA	NA	NA
TRAF1	7185	0.726351	0.957924	NA	NA	NA	NA
TRAF2	7186	9.66865	13.0255	NA	NA	NA	NA
TRAF3	7187	6.36214	9.79658	NA	NA	NA	NA
TRAF3IP1	26146	4.86836	10.1271	cerebral-cortex	glial-cells	Low	Approved
TRAF3IP2	10758	1.83204	4.2921	cerebral-cortex	glial-cells	Medium	Approved
TRAF3IP2-AS1	643749	7.15099	11.4095	NA	NA	NA	NA
TRAF3IP3	80342	0.925689	1.36997	NA	NA	NA	NA
TRAF4	9618	60.2182	55.793	cerebral-cortex	glial-cells	Low	Enhanced
TRAF5	7188	24.0677	16.8002	NA	NA	NA	NA
TRAF6	7189	7.52985	6.81818	cerebral-cortex	glial-cells	Low	Approved
TRAF7	84231	28.184	30.1273	NA	NA	NA	NA
TRAFD1	10906	21.0074	22.4552	NA	NA	NA	NA
TRAIP	10293	12.1274	14.1734	cerebral-cortex	glial-cells	Low	Enhanced
TRAK1	22906	11.4892	18.6832	cerebral-cortex	glial-cells	Medium	Approved
TRAK2	66008	6.05371	9.59131	NA	NA	NA	NA
TRAM1	23471	37.0035	55.143	cerebral-cortex	glial-cells	Medium	Approved
TRAM1L1	133022	3.83505	3.13872	NA	NA	NA	NA
TRAM2	9697	11.9558	17.4806	cerebral-cortex	glial-cells	Medium	Approved
TRAM2-AS1	401264	5.17896	5.1059	NA	NA	NA	NA
TRANK1	9881	0.159782	1.09155	NA	NA	NA	NA
TRAP1	10131	46.2873	40.6513	cerebral-cortex	glial-cells	High	Enhanced
TRAPPC1	58485	108.749	86.6531	NA	NA	NA	NA
TRAPPC10	7109	7.16632	12.193	NA	NA	NA	NA
TRAPPC11	60684	12.0391	13.5263	NA	NA	NA	NA
TRAPPC12	51112	43.7793	28.4241	NA	NA	NA	NA
TRAPPC12-AS1	100861515	0.764498	1.79968	NA	NA	NA	NA
TRAPPC13	80006	18.0973	17.082	cerebral-cortex	glial-cells	Low	Approved
TRAPPC2	6399	13.1684	8.13624	cerebral-cortex	glial-cells	Medium	Approved
TRAPPC2L	51693	74.8599	42.5853	NA	NA	NA	NA
TRAPPC3	27095	47.8964	46.8827	NA	NA	NA	NA
TRAPPC5	126003	70.1382	36.4228	NA	NA	NA	NA
TRAPPC6A	79090	24.1123	10.3087	NA	NA	NA	NA
TRAPPC6B	122553	12.162	11.4189	NA	NA	NA	NA
TRAPPC8	22878	17.2572	13.0242	NA	NA	NA	NA
TRAPPC9	83696	4.42579	5.55539	NA	NA	NA	NA
TRBV26OR9-2	246285	2.8333	1.5559	NA	NA	NA	NA
TRDC	28526	0	1.13636	NA	NA	NA	NA
TRDMT1	1787	4.20584	5.04159	cerebral-cortex	glial-cells	Low	Approved
TRERF1	55809	3.86245	5.91055	cerebral-cortex	glial-cells	Low	Enhanced
TREX1	11277	10.2492	14.0338	NA	NA	NA	NA
TRH	7200	0	0.217274	NA	NA	NA	NA
TRHDE	29953	0.982861	0.231035	NA	NA	NA	NA
TRHDE-AS1	283392	0.865602	0.347324	NA	NA	NA	NA
TRIAP1	51499	67.7757	67.1215	NA	NA	NA	NA
TRIB1	10221	3.2446	3.78144	NA	NA	NA	NA
TRIB2	28951	37.1397	81.7299	cerebral-cortex	glial-cells	Medium	Approved
TRIB3	57761	4.14158	10.3047	NA	NA	NA	NA
TRIL	9865	19.382	29.6415	NA	NA	NA	NA
TRIM11	81559	8.61516	13.3776	cerebral-cortex	glial-cells	Low	Approved
TRIM13	10206	7.91567	5.45623	NA	NA	NA	NA
TRIM14	9830	1.12892	0.815005	NA	NA	NA	NA
TRIM16	10626	19.703	24.0076	NA	NA	NA	NA
TRIM16L	147166	4.69452	5.66193	NA	NA	NA	NA
TRIM17	51127	0.292723	0.566101	NA	NA	NA	NA
TRIM2	23321	12.3217	18.624	cerebral-cortex	glial-cells	Medium	Enhanced
TRIM21	6737	6.17535	8.25838	NA	NA	NA	NA
TRIM22	10346	6.68821	8.03939	NA	NA	NA	NA
TRIM23	373	5.93756	7.19406	cerebral-cortex	glial-cells	Medium	Approved
TRIM24	8805	15.0272	18.2039	NA	NA	NA	NA
TRIM25	7706	4.04793	5.88761	NA	NA	NA	NA
TRIM28	10155	287.205	297.611	cerebral-cortex	glial-cells	High	Supported
TRIM3	10612	10.5459	17.4168	NA	NA	NA	NA
TRIM32	22954	6.41744	10.7885	cerebral-cortex	glial-cells	Medium	Approved
TRIM33	51592	15.2982	15.0288	cerebral-cortex	glial-cells	Medium	Supported
TRIM34	53840	0.683227	1.06948	NA	NA	NA	NA
TRIM35	23087	4.54789	5.32593	cerebral-cortex	glial-cells	Medium	Approved
TRIM36	55521	3.17246	1.46791	NA	NA	NA	NA
TRIM37	4591	10.894	13.6789	NA	NA	NA	NA
TRIM38	10475	3.89004	5.67232	cerebral-cortex	glial-cells	Low	Approved
TRIM4	89122	5.0052	7.31898	cerebral-cortex	glial-cells	Medium	Approved
TRIM41	90933	15.7511	16.7188	NA	NA	NA	NA
TRIM44	54765	20.9288	32.7073	cerebral-cortex	glial-cells	Medium	Approved
TRIM45	80263	26.2456	10.262	NA	NA	NA	NA
TRIM46	80128	2.65622	4.38303	NA	NA	NA	NA
TRIM47	91107	2.41706	6.64622	NA	NA	NA	NA
TRIM48	79097	0	0.0343716	NA	NA	NA	NA
TRIM5	85363	17.7104	22.0387	cerebral-cortex	glial-cells	Low	Approved
TRIM52	84851	9.95675	9.39857	cerebral-cortex	glial-cells	Medium	Approved
TRIM52-AS1	100507602	20.8407	11.0989	NA	NA	NA	NA
TRIM55	84675	84.1382	28.0177	NA	NA	NA	NA
TRIM56	81844	7.52611	6.1095	cerebral-cortex	glial-cells	Low	Approved
TRIM58	25893	0.200497	0.0569184	NA	NA	NA	NA
TRIM59	286827	18.8843	19.9184	NA	NA	NA	NA
TRIM6	117854	0.727954	1.57475	NA	NA	NA	NA
TRIM6-TRIM34	445372	0.19092	0.186161	NA	NA	NA	NA
TRIM60P18	100420415	0.515552	0.539855	NA	NA	NA	NA
TRIM61	391712	0.317227	0.339058	NA	NA	NA	NA
TRIM62	55223	6.94169	10.7075	NA	NA	NA	NA
TRIM65	201292	10.5965	12.933	cerebral-cortex	glial-cells	Medium	Approved
TRIM66	9866	1.06921	1.4923	cerebral-cortex	glial-cells	Low	Approved
TRIM67	440730	0.0364144	0.0757251	NA	NA	NA	NA
TRIM68	55128	4.29674	6.93284	NA	NA	NA	NA
TRIM69	140691	15.2808	14.9489	NA	NA	NA	NA
TRIM7	81786	6.07706	1.55208	cerebral-cortex	glial-cells	Medium	Approved
TRIM71	131405	0.260884	0.971519	NA	NA	NA	NA
TRIM8	81603	31.1567	20.7711	cerebral-cortex	glial-cells	Low	Approved
TRIM9	114088	1.08843	3.27785	NA	NA	NA	NA
TRIO	7204	64.9369	85.8647	cerebral-cortex	glial-cells	Low	Supported
TRIOBP	11078	19.4226	23.0747	NA	NA	NA	NA
TRIP10	9322	27.3116	34.1739	NA	NA	NA	NA
TRIP11	9321	6.57532	11.3744	cerebral-cortex	glial-cells	Medium	Supported
TRIP12	9320	37.3602	48.3737	NA	NA	NA	NA
TRIP13	9319	14.2866	20.2477	NA	NA	NA	NA
TRIP4	9325	26.9237	19.6065	NA	NA	NA	NA
TRIP6	7205	33.4908	29.6445	cerebral-cortex	glial-cells	Medium	Approved
TRIQK	286144	6.53283	8.26363	NA	NA	NA	NA
TRIT1	54802	21.1093	18.1558	NA	NA	NA	NA
TRMT1	55621	18.3537	22.1566	cerebral-cortex	glial-cells	Low	Approved
TRMT10A	93587	8.01778	7.02933	NA	NA	NA	NA
TRMT10B	158234	7.09193	7.3444	NA	NA	NA	NA
TRMT10C	54931	36.7008	26.0685	cerebral-cortex	glial-cells	Low	Approved
TRMT11	60487	16.1737	10.8897	NA	NA	NA	NA
TRMT112	51504	236.553	147.31	NA	NA	NA	NA
TRMT12	55039	7.58069	7.78795	cerebral-cortex	glial-cells	Low	Approved
TRMT13	54482	12.4249	11.0951	cerebral-cortex	glial-cells	Low	Approved
TRMT1L	81627	7.88237	9.37015	NA	NA	NA	NA
TRMT2A	27037	24.156	20.4406	cerebral-cortex	glial-cells	Medium	Approved
TRMT2B	79979	3.10244	3.90267	NA	NA	NA	NA
TRMT44	152992	4.74217	4.57748	NA	NA	NA	NA
TRMT5	57570	11.9288	10.0545	NA	NA	NA	NA
TRMT6	51605	12.0121	11.8378	NA	NA	NA	NA
TRMT61A	115708	6.99015	5.15855	NA	NA	NA	NA
TRMT61B	55006	14.7038	9.41057	cerebral-cortex	glial-cells	Medium	Enhanced
TRMU	55687	37.8199	36.8001	NA	NA	NA	NA
TRNAU1AP	54952	28.6367	20.5873	NA	NA	NA	NA
TRNP1	388610	3.35499	3.52884	NA	NA	NA	NA
TRNT1	51095	13.6356	15.496	NA	NA	NA	NA
TRO	7216	56.7892	66.357	NA	NA	NA	NA
TROAP	10024	37.0906	35.8896	NA	NA	NA	NA
TRPA1	8989	0.155479	3.45017	NA	NA	NA	NA
TRPC1	7220	4.35664	4.57902	cerebral-cortex	glial-cells	Medium	Supported
TRPC3	7222	0.230683	0.308685	NA	NA	NA	NA
TRPC4	7223	0.487925	0.810431	NA	NA	NA	NA
TRPC4AP	26133	37.9831	36.4423	NA	NA	NA	NA
TRPC6	7225	1.82983	0.126998	NA	NA	NA	NA
TRPM3	80036	0.0459223	0.251282	NA	NA	NA	NA
TRPM4	54795	7.74687	8.26014	NA	NA	NA	NA
TRPM7	54822	6.51486	11.1149	NA	NA	NA	NA
TRPM8	79054	0.0407867	0.128294	NA	NA	NA	NA
TRPS1	7227	4.56937	6.76383	cerebral-cortex	glial-cells	Low	Enhanced
TRPT1	83707	31.4303	20.5852	NA	NA	NA	NA
TRPV1	7442	1.95188	1.76304	NA	NA	NA	NA
TRPV2	51393	0.632803	2.69369	NA	NA	NA	NA
TRPV3	162514	0.0952798	0.192406	NA	NA	NA	NA
TRPV4	59341	0.872569	1.18854	NA	NA	NA	NA
TRRAP	8295	8.89401	10.8777	NA	NA	NA	NA
TRUB1	142940	12.634	11.3339	NA	NA	NA	NA
TRUB2	26995	18.2376	15.8486	NA	NA	NA	NA
TSACC	128229	1.0819	0.963837	NA	NA	NA	NA
TSC1	7248	12.9584	13.9632	cerebral-cortex	glial-cells	Medium	Supported
TSC2	7249	30.6687	28.7405	NA	NA	NA	NA
TSC22D1	8848	89.6344	119.665	NA	NA	NA	NA
TSC22D2	9819	19.9712	24.5252	cerebral-cortex	glial-cells	Medium	Approved
TSC22D3	1831	44.3886	91.0517	cerebral-cortex	glial-cells	Low	Approved
TSC22D4	81628	27.4996	26.5184	NA	NA	NA	NA
TSEN15	116461	34.2632	29.2905	NA	NA	NA	NA
TSEN15P1	100288179	0.500114	0.263824	NA	NA	NA	NA
TSEN2	80746	12.1897	7.29582	cerebral-cortex	glial-cells	Low	Approved
TSEN54	283989	22.5273	15.523	NA	NA	NA	NA
